DNS,Connect,TLS,TTFB,Time Pretransfer,Total,Redirect,Speed Download,Speed Upload,HTTP Code,Num Connects
2.6e-05,0.000528,0.078016,0.108866,0.078087,0.109098,0.0,1484.0,0.0,429.0,1.0
2.5e-05,0.000527,0.075829,0.105256,0.075902,0.10537,0.0,1537.0,0.0,429.0,1.0
2.6e-05,0.000492,0.093137,0.39145,0.093212,0.434187,0.0,116062.0,0.0,200.0,1.0
2.1e-05,0.000479,0.074564,0.344691,0.07464,0.387249,0.0,130130.0,0.0,200.0,1.0
2.3e-05,0.000532,0.078197,0.365092,0.078271,0.407875,0.0,123550.0,0.0,200.0,1.0
2.4e-05,0.000497,0.078526,0.10861,0.07859,0.108728,0.0,1489.0,0.0,429.0,1.0
2.4e-05,0.000505,0.076777,0.106902,0.076846,0.107037,0.0,1513.0,0.0,429.0,1.0
3.1e-05,0.000505,0.096124,0.125749,0.096198,0.125873,0.0,1287.0,0.0,429.0,1.0
2.9e-05,0.000506,0.096879,0.360492,0.096958,0.403904,0.0,124764.0,0.0,200.0,1.0
2.1e-05,0.000528,0.076516,0.32398,0.076581,0.364738,0.0,138162.0,0.0,200.0,1.0
2.6e-05,0.000541,0.0939,0.12353,0.093993,0.12365,0.0,1310.0,0.0,429.0,1.0
2.1e-05,0.000546,0.091469,0.3691,0.091549,0.410033,0.0,122899.0,0.0,200.0,1.0
2.5e-05,0.000552,0.076006,0.298358,0.076067,0.33883,0.0,148726.0,0.0,200.0,1.0
2.1e-05,0.000614,0.08256,0.304279,0.082624,0.34731,0.0,145095.0,0.0,200.0,1.0
2.4e-05,0.000487,0.076154,0.105863,0.076216,0.10599,0.0,1528.0,0.0,429.0,1.0
2.6e-05,0.000583,0.091835,0.367986,0.091905,0.408754,0.0,123284.0,0.0,200.0,1.0
3.5e-05,0.004982,0.108107,0.399801,0.108192,0.442984,0.0,113758.0,0.0,200.0,1.0
2.6e-05,0.000553,0.077939,0.322411,0.078012,0.364793,0.0,138141.0,0.0,200.0,1.0
2.9e-05,0.000502,0.075307,0.369223,0.075375,0.410362,0.0,122801.0,0.0,200.0,1.0
2.2e-05,0.000502,0.077099,0.373975,0.077169,0.415272,0.0,121349.0,0.0,200.0,1.0
2.4e-05,0.000561,0.076419,0.369837,0.076492,0.413527,0.0,121861.0,0.0,200.0,1.0
3.3e-05,0.000517,0.076888,0.106019,0.076947,0.106149,0.0,1526.0,0.0,429.0,1.0
2.2e-05,0.000551,0.07903,0.363708,0.079099,0.404471,0.0,124589.0,0.0,200.0,1.0
2.2e-05,0.000512,0.093036,0.293393,0.093105,0.338394,0.0,148918.0,0.0,200.0,1.0
2.7e-05,0.000501,0.077685,0.108103,0.077768,0.108294,0.0,1495.0,0.0,429.0,1.0
4.3e-05,0.000627,0.078448,0.341771,0.07852,0.38511,0.0,130853.0,0.0,200.0,1.0
2.5e-05,0.000506,0.076062,0.349627,0.076154,0.391311,0.0,128779.0,0.0,200.0,1.0
2.8e-05,0.000491,0.078215,0.109086,0.078285,0.109201,0.0,1483.0,0.0,429.0,1.0
2.5e-05,0.000499,0.078164,0.107707,0.078231,0.107837,0.0,1502.0,0.0,429.0,1.0
2.6e-05,0.00066,0.097617,0.352158,0.097685,0.392833,0.0,128280.0,0.0,200.0,1.0
2.7e-05,0.000568,0.077301,0.324591,0.077364,0.36712,0.0,137265.0,0.0,200.0,1.0
2.6e-05,0.00051,0.077884,0.331771,0.077943,0.374996,0.0,134382.0,0.0,200.0,1.0
2.6e-05,0.000498,0.076375,0.106319,0.07646,0.106487,0.0,1521.0,0.0,429.0,1.0
2.5e-05,0.000616,0.076754,0.106977,0.076821,0.107119,0.0,1512.0,0.0,429.0,1.0
3.4e-05,0.000606,0.076371,0.312637,0.076438,0.356476,0.0,141364.0,0.0,200.0,1.0
2.6e-05,0.000507,0.081751,0.360708,0.081824,0.40155,0.0,125496.0,0.0,200.0,1.0
2.8e-05,0.000588,0.096615,0.126404,0.096702,0.126533,0.0,1280.0,0.0,429.0,1.0
2.8e-05,0.000482,0.092456,0.37646,0.092536,0.420062,0.0,119965.0,0.0,200.0,1.0
2.2e-05,0.000548,0.093908,0.359802,0.093983,0.403591,0.0,124861.0,0.0,200.0,1.0
2.6e-05,0.000481,0.076124,0.297958,0.076184,0.338726,0.0,148772.0,0.0,200.0,1.0
2.6e-05,0.000486,0.076424,0.327317,0.076484,0.368895,0.0,136605.0,0.0,200.0,1.0
2.7e-05,0.000511,0.076333,0.316269,0.076393,0.357567,0.0,140933.0,0.0,200.0,1.0
2.5e-05,0.00049,0.080515,0.333906,0.080589,0.377229,0.0,133587.0,0.0,200.0,1.0
2.7e-05,0.00051,0.078375,0.108164,0.07844,0.1083,0.0,1495.0,0.0,429.0,1.0
3e-05,0.000577,0.076496,0.330264,0.076583,0.372554,0.0,135263.0,0.0,200.0,1.0
3.1e-05,0.000484,0.07509,0.388167,0.075166,0.431733,0.0,116722.0,0.0,200.0,1.0
2.6e-05,0.000485,0.078385,0.107911,0.078449,0.108061,0.0,1499.0,0.0,429.0,1.0
2.1e-05,0.000489,0.076342,0.382566,0.076404,0.423225,0.0,119069.0,0.0,200.0,1.0
2.6e-05,0.000569,0.077063,0.368923,0.077127,0.41146,0.0,122473.0,0.0,200.0,1.0
2.2e-05,0.000628,0.07635,0.105096,0.076412,0.105226,0.0,1539.0,0.0,429.0,1.0
2.2e-05,0.000575,0.093136,0.122825,0.093224,0.122959,0.0,1317.0,0.0,429.0,1.0
2.4e-05,0.000567,0.092371,0.331551,0.092459,0.372837,0.0,135160.0,0.0,200.0,1.0
2.7e-05,0.000496,0.127594,0.441981,0.127676,0.485762,0.0,103740.0,0.0,200.0,1.0
2.5e-05,0.000494,0.09396,0.4073,0.094026,0.447842,0.0,112524.0,0.0,200.0,1.0
2.8e-05,0.000543,0.091143,0.131823,0.091209,0.131939,0.0,1227.0,0.0,429.0,1.0
2.3e-05,0.000482,0.095162,0.125113,0.095226,0.125238,0.0,1293.0,0.0,429.0,1.0
2.6e-05,0.000503,0.091989,0.12093,0.09209,0.121047,0.0,1338.0,0.0,429.0,1.0
2.6e-05,0.000502,0.074841,0.376287,0.07491,0.418974,0.0,120277.0,0.0,200.0,1.0
4.4e-05,0.000669,0.093003,0.122936,0.093079,0.123161,0.0,1315.0,0.0,429.0,1.0
2.4e-05,0.000501,0.077031,0.106377,0.077093,0.106502,0.0,1521.0,0.0,429.0,1.0
2.5e-05,0.000484,0.091032,0.120112,0.0911,0.120224,0.0,1347.0,0.0,429.0,1.0
2.1e-05,0.000536,0.092652,0.374831,0.092719,0.415883,0.0,121171.0,0.0,200.0,1.0
3.1e-05,0.000489,0.101735,0.131498,0.101811,0.131622,0.0,1230.0,0.0,429.0,1.0
2.1e-05,0.000491,0.092798,0.121365,0.092866,0.121505,0.0,1333.0,0.0,429.0,1.0
2.5e-05,0.000521,0.076877,0.358651,0.076941,0.402472,0.0,125208.0,0.0,200.0,1.0
2.6e-05,0.000495,0.078761,0.370908,0.078827,0.411577,0.0,122438.0,0.0,200.0,1.0
2e-05,0.000534,0.093387,0.361904,0.093455,0.402775,0.0,125114.0,0.0,200.0,1.0
3e-05,0.000511,0.076355,0.105685,0.076418,0.105822,0.0,1530.0,0.0,429.0,1.0
2.2e-05,0.000513,0.096833,0.12737,0.096901,0.127504,0.0,1270.0,0.0,429.0,1.0
2.5e-05,0.000498,0.07655,0.373853,0.076609,0.414479,0.0,121581.0,0.0,200.0,1.0
2.1e-05,0.000498,0.077535,0.323901,0.077598,0.365381,0.0,137919.0,0.0,200.0,1.0
2.1e-05,0.000491,0.077366,0.10652,0.07743,0.106655,0.0,1518.0,0.0,429.0,1.0
2.5e-05,0.000479,0.094685,0.124131,0.094755,0.124257,0.0,1303.0,0.0,429.0,1.0
2.2e-05,0.00055,0.07471,0.267025,0.074767,0.308384,0.0,163409.0,0.0,200.0,1.0
2.2e-05,0.000504,0.077031,0.162323,0.077095,0.16247,0.0,997.0,0.0,429.0,1.0
2.6e-05,0.000494,0.077046,0.106767,0.077119,0.106897,0.0,1515.0,0.0,429.0,1.0
2.3e-05,0.000509,0.076474,0.105704,0.07655,0.105863,0.0,1530.0,0.0,429.0,1.0
2.2e-05,0.000515,0.081723,0.120969,0.081836,0.121242,0.0,1336.0,0.0,429.0,1.0
3e-05,0.000564,0.094369,0.346997,0.094438,0.390139,0.0,129166.0,0.0,200.0,1.0
2.6e-05,0.000515,0.078162,0.361627,0.078237,0.402105,0.0,125322.0,0.0,200.0,1.0
2.5e-05,0.000491,0.093766,0.430106,0.093838,0.472979,0.0,106543.0,0.0,200.0,1.0
2.9e-05,0.000496,0.079083,0.292253,0.079157,0.33411,0.0,150827.0,0.0,200.0,1.0
2.5e-05,0.000501,0.077049,0.380723,0.077121,0.421724,0.0,119492.0,0.0,200.0,1.0
2.5e-05,0.000515,0.076603,0.331171,0.076663,0.374536,0.0,134547.0,0.0,200.0,1.0
2.7e-05,0.000503,0.096355,0.422458,0.096433,0.465152,0.0,108336.0,0.0,200.0,1.0
2.5e-05,0.000498,0.076783,0.320356,0.076843,0.362318,0.0,139085.0,0.0,200.0,1.0
2.1e-05,0.0005,0.076766,0.106411,0.076829,0.106538,0.0,1520.0,0.0,429.0,1.0
2.9e-05,0.000514,0.075587,0.401833,0.07566,0.445232,0.0,113183.0,0.0,200.0,1.0
2.1e-05,0.000483,0.09284,0.385678,0.092923,0.426412,0.0,118179.0,0.0,200.0,1.0
2.7e-05,0.000582,0.091699,0.120577,0.091766,0.120704,0.0,1342.0,0.0,429.0,1.0
2.3e-05,0.000499,0.092137,0.122395,0.092201,0.122523,0.0,1322.0,0.0,429.0,1.0
2.3e-05,0.000522,0.079501,0.358769,0.079564,0.552948,0.0,91135.0,0.0,200.0,1.0
2.5e-05,0.00051,0.092177,0.349071,0.092241,0.389292,0.0,129447.0,0.0,200.0,1.0
2.9e-05,0.000548,0.077214,0.106405,0.077278,0.106522,0.0,1520.0,0.0,429.0,1.0
3e-05,0.000496,0.077461,0.107232,0.077536,0.107349,0.0,1509.0,0.0,429.0,1.0
2.5e-05,0.000547,0.07632,0.105954,0.076383,0.106087,0.0,1527.0,0.0,429.0,1.0
2.5e-05,0.000516,0.077121,0.339101,0.077193,0.379695,0.0,132719.0,0.0,200.0,1.0
2.3e-05,0.000494,0.09381,0.354556,0.093886,0.396973,0.0,126943.0,0.0,200.0,1.0
2.1e-05,0.000584,0.077115,0.106465,0.077176,0.106607,0.0,1519.0,0.0,429.0,1.0
2.7e-05,0.000538,0.081974,0.112091,0.082045,0.11227,0.0,1442.0,0.0,429.0,1.0
