website,id,date,layer_counts,all_packet_count,all_packet_sizes,all_packet_total_size,all_packet_min_size,all_packet_max_size,all_packet_average_size,tcp_packet_count,tcp_packet_sizes,tcp_packet_total_size,tcp_packet_min_size,tcp_packet_max_size,tcp_packet_average_size,tcp_count,tcp_retransmissions,tcp_duplicate_acks,tcp_fast_retransmissions,tcp_retransmission_percentage,tcp_min_rtt,tcp_max_rtt,tcp_avg_rtt,udp_count,udp_packet_count,udp_packet_sizes,udp_packet_total_size,udp_packet_min_size,udp_packet_max_size,udp_packet_average_size,ip_packet_count,ip_packet_sizes,ip_packet_total_size,ip_packet_min_size,ip_packet_max_size,ip_packet_average_size,ip_count,ip_fragmented,ip_fragmentation_percentage,dns_count,dns_query_types,dns_response_codes,dns_incomplete_transactions,data_count,data_total_payload_size,data_min_payload_size,data_max_payload_size,data_avg_payload_size,param_frag_size,param_tcp_frag,param_record_frag
https://networks.exchangepoint.tech/,38b7305b-7628-4785-9f1b-f3ae640bc2a7,2025-05-13 18:51:16,"{'eth': 94, 'arp': 6, 'ip': 88, 'tcp': 88, 'http': 8, 'json': 4, 'tls': 23, 'DATA': 8}",94,"[42, 42, 1900, 54, 1900, 54, 281, 1900, 281, 54, 54, 54, 54, 54, 1900, 54, 281, 54, 281, 54, 54, 54, 74, 74, 66, 68, 68, 70, 106, 512, 68, 87, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 82, 290, 42, 42, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 2882, 2882, 2882, 66, 66, 66, 2882, 66, 2882, 66, 2882, 4290, 66, 66, 1607, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66, 42, 42]",68183,42,4290,725.3510638297872,88,"[1900, 54, 1900, 54, 281, 1900, 281, 54, 54, 54, 54, 54, 1900, 54, 281, 54, 281, 54, 54, 54, 74, 74, 66, 68, 68, 70, 106, 512, 68, 87, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 82, 290, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 2882, 2882, 2882, 66, 66, 66, 2882, 66, 2882, 66, 2882, 4290, 66, 66, 1607, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66]",67931,54,4290,771.9431818181819,88,0,0,0,0.0,4.65e-06,0.126460664,0.0351879111052631,0,0,[],0,0,0,0,88,"[1900, 54, 1900, 54, 281, 1900, 281, 54, 54, 54, 54, 54, 1900, 54, 281, 54, 281, 54, 54, 54, 74, 74, 66, 68, 68, 70, 106, 512, 68, 87, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 82, 290, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 2882, 2882, 2882, 66, 66, 66, 2882, 66, 2882, 66, 2882, 4290, 66, 66, 1607, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66]",67931,54,4290,771.9431818181819,88,0,0.0,0,{},{},0,8,0,0,0,0.0,100,True,False
https://networks.exchangepoint.tech/,87751de2-f15d-4ee2-b61a-bb1174aa5c5e,2025-05-13 18:52:47,"{'eth': 87, 'arp': 6, 'ip': 81, 'tcp': 81, 'tls': 24, 'DATA': 9}",87,"[42, 42, 54, 54, 54, 54, 54, 54, 54, 54, 42, 42, 74, 74, 66, 68, 68, 70, 100, 68, 86, 482, 68, 101, 66, 66, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 138, 68, 104, 194, 66, 66, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 66, 66, 66, 66, 2882, 66, 2882, 2882, 66, 2882, 66, 4290, 1623, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 42, 42]",59589,42,4290,684.9310344827586,81,"[54, 54, 54, 54, 54, 54, 54, 54, 74, 74, 66, 68, 68, 70, 100, 68, 86, 482, 68, 101, 66, 66, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 138, 68, 104, 194, 66, 66, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 66, 66, 66, 66, 2882, 66, 2882, 2882, 66, 2882, 66, 4290, 1623, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66]",59337,54,4290,732.5555555555555,81,0,0,0,0.0,1.1672e-05,0.108471555,0.0505768060967741,0,0,[],0,0,0,0,81,"[54, 54, 54, 54, 54, 54, 54, 54, 74, 74, 66, 68, 68, 70, 100, 68, 86, 482, 68, 101, 66, 66, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 138, 68, 104, 194, 66, 66, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 66, 66, 66, 66, 2882, 66, 2882, 2882, 66, 2882, 66, 4290, 1623, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66]",59337,54,4290,732.5555555555555,81,0,0.0,0,{},{},0,9,0,0,0,0.0,100,True,False
https://networks.exchangepoint.tech/,ef706ddb-a14e-40f3-a09a-eccc67189e06,2025-05-13 18:54:19,"{'eth': 101, 'arp': 6, 'ip': 95, 'tcp': 95, 'http': 8, 'json': 4, 'tls': 23, 'DATA': 8}",101,"[42, 42, 1900, 54, 1900, 54, 281, 1900, 54, 54, 54, 1900, 54, 281, 54, 54, 281, 54, 54, 281, 54, 54, 42, 42, 74, 74, 66, 68, 68, 70, 94, 68, 82, 529, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 80, 68, 76, 280, 66, 66, 66, 2882, 2882, 2882, 1474, 1474, 66, 2882, 66, 2882, 2882, 66, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 66, 66, 66, 66, 2882, 66, 2882, 4290, 1607, 66, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66, 42, 42]",68645,42,4290,679.6534653465346,95,"[1900, 54, 1900, 54, 281, 1900, 54, 54, 54, 1900, 54, 281, 54, 54, 281, 54, 54, 281, 54, 54, 74, 74, 66, 68, 68, 70, 94, 68, 82, 529, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 80, 68, 76, 280, 66, 66, 66, 2882, 2882, 2882, 1474, 1474, 66, 2882, 66, 2882, 2882, 66, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 66, 66, 66, 66, 2882, 66, 2882, 4290, 1607, 66, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66]",68393,54,4290,719.9263157894737,95,0,0,0,0.0,4.907e-06,0.145459296,0.0408934506904761,0,0,[],0,0,0,0,95,"[1900, 54, 1900, 54, 281, 1900, 54, 54, 54, 1900, 54, 281, 54, 54, 281, 54, 54, 281, 54, 54, 74, 74, 66, 68, 68, 70, 94, 68, 82, 529, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 80, 68, 76, 280, 66, 66, 66, 2882, 2882, 2882, 1474, 1474, 66, 2882, 66, 2882, 2882, 66, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 66, 66, 66, 66, 2882, 66, 2882, 4290, 1607, 66, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66]",68393,54,4290,719.9263157894737,95,0,0.0,0,{},{},0,8,0,0,0,0.0,100,True,False
https://networks.exchangepoint.tech/,2563118a-4ce7-4599-82a3-d9000d7a227c,2025-05-13 18:55:50,"{'eth': 106, 'ip': 102, 'tcp': 102, 'arp': 4, 'ssh': 12, 'tls': 23, 'DATA': 8}",106,"[54, 54, 54, 54, 54, 54, 54, 54, 42, 42, 74, 74, 66, 81, 66, 106, 66, 1202, 922, 66, 74, 74, 66, 68, 68, 70, 106, 68, 88, 511, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 86, 68, 78, 272, 66, 146, 66, 378, 66, 66, 66, 66, 82, 66, 2882, 2882, 2882, 2882, 66, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 66, 66, 66, 130, 66, 130, 2882, 66, 4290, 66, 1607, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 146, 130, 130, 66, 66, 66, 42, 42]",63682,42,4290,600.7735849056604,102,"[54, 54, 54, 54, 54, 54, 54, 54, 74, 74, 66, 81, 66, 106, 66, 1202, 922, 66, 74, 74, 66, 68, 68, 70, 106, 68, 88, 511, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 86, 68, 78, 272, 66, 146, 66, 378, 66, 66, 66, 66, 82, 66, 2882, 2882, 2882, 2882, 66, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 66, 66, 66, 130, 66, 130, 2882, 66, 4290, 66, 1607, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 146, 130, 130, 66, 66, 66]",63514,54,4290,622.6862745098039,102,0,0,0,0.0,3.922e-06,0.327594878,0.0845848549555555,0,0,[],0,0,0,0,102,"[54, 54, 54, 54, 54, 54, 54, 54, 74, 74, 66, 81, 66, 106, 66, 1202, 922, 66, 74, 74, 66, 68, 68, 70, 106, 68, 88, 511, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 86, 68, 78, 272, 66, 146, 66, 378, 66, 66, 66, 66, 82, 66, 2882, 2882, 2882, 2882, 66, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 66, 66, 66, 130, 66, 130, 2882, 66, 4290, 66, 1607, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 146, 130, 130, 66, 66, 66]",63514,54,4290,622.6862745098039,102,0,0.0,0,{},{},0,8,0,0,0,0.0,100,True,False
https://networks.exchangepoint.tech/,e45e7760-0c43-41d4-9b29-ce625d634828,2025-05-13 18:57:22,"{'eth': 93, 'ip': 87, 'tcp': 87, 'http': 8, 'json': 4, 'arp': 6, 'tls': 23, 'DATA': 8}",93,"[1900, 1900, 54, 54, 1900, 54, 281, 281, 1900, 54, 54, 54, 54, 54, 281, 54, 54, 281, 54, 54, 42, 42, 74, 74, 66, 68, 68, 70, 106, 68, 88, 472, 68, 103, 66, 66, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 84, 288, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 2882, 2882, 66, 66, 2882, 4290, 1615, 66, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66, 42, 42, 42, 42]",68125,42,4290,732.5268817204301,87,"[1900, 1900, 54, 54, 1900, 54, 281, 281, 1900, 54, 54, 54, 54, 54, 281, 54, 54, 281, 54, 54, 74, 74, 66, 68, 68, 70, 106, 68, 88, 472, 68, 103, 66, 66, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 84, 288, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 2882, 2882, 66, 66, 2882, 4290, 1615, 66, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66]",67873,54,4290,780.1494252873563,87,0,0,0,0.0,1.4115e-05,0.12155562,0.0404980223142857,0,0,[],0,0,0,0,87,"[1900, 1900, 54, 54, 1900, 54, 281, 281, 1900, 54, 54, 54, 54, 54, 281, 54, 54, 281, 54, 54, 74, 74, 66, 68, 68, 70, 106, 68, 88, 472, 68, 103, 66, 66, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 84, 288, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 2882, 2882, 66, 66, 2882, 4290, 1615, 66, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66]",67873,54,4290,780.1494252873563,87,0,0.0,0,{},{},0,8,0,0,0,0.0,100,True,False
https://networks.exchangepoint.tech/,151f65da-7c38-4990-afcf-4cfaf0f08323,2025-05-13 18:58:57,"{'eth': 70, 'arp': 4, 'ip': 66, 'tcp': 66, 'tls': 23, 'DATA': 8}",70,"[42, 42, 74, 74, 66, 68, 68, 70, 70, 486, 68, 149, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 84, 68, 78, 274, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 2882, 2882, 2882, 2882, 2882, 66, 2882, 66, 1474, 2882, 1615, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66, 42, 42]",58603,42,2882,837.1857142857143,66,"[74, 74, 66, 68, 68, 70, 70, 486, 68, 149, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 84, 68, 78, 274, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 2882, 2882, 2882, 2882, 2882, 66, 2882, 66, 1474, 2882, 1615, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66]",58435,66,2882,885.3787878787879,66,0,0,0,0.0,3.5629e-05,0.12223316,0.05340983768,0,0,[],0,0,0,0,66,"[74, 74, 66, 68, 68, 70, 70, 486, 68, 149, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 84, 68, 78, 274, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 2882, 2882, 2882, 2882, 2882, 66, 2882, 66, 1474, 2882, 1615, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 66, 66, 66]",58435,66,2882,885.3787878787879,66,0,0.0,0,{},{},0,8,0,0,0,0.0,100,True,False
https://networks.exchangepoint.tech/,85d2d33f-7efb-49f4-917b-13c79a771a26,2025-05-13 19:00:28,"{'eth': 84, 'arp': 6, 'ip': 78, 'tcp': 78, 'tls': 23, 'DATA': 8}",84,"[42, 42, 74, 74, 66, 68, 68, 70, 84, 310, 68, 190, 68, 130, 68, 66, 66, 66, 66, 119, 66, 66, 66, 66, 66, 66, 42, 42, 66, 2510, 66, 68, 68, 70, 76, 74, 288, 66, 66, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 66, 2882, 2882, 66, 66, 2882, 66, 2882, 66, 2882, 66, 2882, 66, 2882, 66, 2882, 2882, 66, 2882, 4290, 1615, 66, 66, 68, 68, 70, 80, 68, 66, 66, 66, 66, 66, 66, 42, 42]",59478,42,4290,708.0714285714286,78,"[74, 74, 66, 68, 68, 70, 84, 310, 68, 190, 68, 130, 68, 66, 66, 66, 66, 119, 66, 66, 66, 66, 66, 66, 66, 2510, 66, 68, 68, 70, 76, 74, 288, 66, 66, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 66, 2882, 2882, 66, 66, 2882, 66, 2882, 66, 2882, 66, 2882, 66, 2882, 66, 2882, 2882, 66, 2882, 4290, 1615, 66, 66, 68, 68, 70, 80, 68, 66, 66, 66, 66, 66, 66]",59226,66,4290,759.3076923076923,78,0,0,0,0.0,3.836e-06,0.142880925,0.05714038025,0,0,[],0,0,0,0,78,"[74, 74, 66, 68, 68, 70, 84, 310, 68, 190, 68, 130, 68, 66, 66, 66, 66, 119, 66, 66, 66, 66, 66, 66, 66, 2510, 66, 68, 68, 70, 76, 74, 288, 66, 66, 66, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 66, 2882, 2882, 66, 66, 2882, 66, 2882, 66, 2882, 66, 2882, 66, 2882, 66, 2882, 2882, 66, 2882, 4290, 1615, 66, 66, 68, 68, 70, 80, 68, 66, 66, 66, 66, 66, 66]",59226,66,4290,759.3076923076923,78,0,0.0,0,{},{},0,8,0,0,0,0.0,100,True,False
https://networks.exchangepoint.tech/,0e8b50b5-4d81-43b0-8de0-87dfe0302a6e,2025-05-13 19:01:58,"{'eth': 76, 'arp': 6, 'ip': 70, 'tcp': 70, 'tls': 27, 'DATA': 8}",76,"[42, 42, 105, 105, 66, 42, 42, 74, 74, 66, 68, 68, 70, 86, 528, 68, 91, 66, 66, 66, 66, 66, 66, 66, 2510, 66, 68, 68, 70, 114, 258, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 66, 2882, 2882, 2882, 66, 66, 66, 2882, 66, 4290, 66, 1615, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 105, 105, 66, 42, 42]",59106,42,4290,777.7105263157895,70,"[105, 105, 66, 74, 74, 66, 68, 68, 70, 86, 528, 68, 91, 66, 66, 66, 66, 66, 66, 66, 2510, 66, 68, 68, 70, 114, 258, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 66, 2882, 2882, 2882, 66, 66, 66, 2882, 66, 4290, 66, 1615, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 105, 105, 66]",58854,66,4290,840.7714285714286,70,0,0,0,0.0,9.172e-06,0.12265486,0.03685082659375,0,0,[],0,0,0,0,70,"[105, 105, 66, 74, 74, 66, 68, 68, 70, 86, 528, 68, 91, 66, 66, 66, 66, 66, 66, 66, 2510, 66, 68, 68, 70, 114, 258, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 66, 2882, 2882, 2882, 66, 66, 2882, 2882, 2882, 66, 66, 66, 2882, 66, 4290, 66, 1615, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 105, 105, 66]",58854,66,4290,840.7714285714286,70,0,0.0,0,{},{},0,8,0,0,0,0.0,100,True,False
https://networks.exchangepoint.tech/,7793fcb9-4eb7-475d-82ce-fb604df0418d,2025-05-13 19:03:29,"{'eth': 89, 'arp': 6, 'ip': 83, 'tcp': 83, 'tls': 24, 'DATA': 9, 'ssh': 3}",89,"[42, 42, 42, 42, 74, 74, 66, 68, 68, 70, 140, 68, 106, 68, 88, 80, 421, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 2512, 66, 68, 68, 70, 96, 84, 92, 232, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 66, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 66, 66, 66, 66, 2882, 4290, 66, 66, 1615, 66, 68, 68, 70, 82, 66, 66, 66, 42, 42, 74, 74, 66, 81, 66, 106, 66, 1202, 66]",61017,42,4290,685.5842696629213,83,"[74, 74, 66, 68, 68, 70, 140, 68, 106, 68, 88, 80, 421, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 2512, 66, 68, 68, 70, 96, 84, 92, 232, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 66, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 66, 66, 66, 66, 2882, 4290, 66, 66, 1615, 66, 68, 68, 70, 82, 66, 66, 66, 74, 74, 66, 81, 66, 106, 66, 1202, 66]",60765,66,4290,732.1084337349398,83,0,0,0,0.0,7.518e-06,0.399412163,0.0752489435789473,0,0,[],0,0,0,0,83,"[74, 74, 66, 68, 68, 70, 140, 68, 106, 68, 88, 80, 421, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 2512, 66, 68, 68, 70, 96, 84, 92, 232, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 2882, 66, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 66, 66, 66, 66, 2882, 4290, 66, 66, 1615, 66, 68, 68, 70, 82, 66, 66, 66, 74, 74, 66, 81, 66, 106, 66, 1202, 66]",60765,66,4290,732.1084337349398,83,0,0.0,0,{},{},0,9,0,0,0,0.0,100,True,False
https://networks.exchangepoint.tech/,7a66d3a4-78e5-4a4e-b536-dba13b0d53a0,2025-05-13 19:05:00,"{'eth': 91, 'arp': 6, 'ip': 85, 'tcp': 85, 'tls': 24, 'DATA': 9}",91,"[42, 42, 42, 42, 74, 74, 66, 68, 68, 70, 106, 462, 68, 137, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 174, 68, 122, 68, 96, 68, 84, 88, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 2882, 2882, 2882, 66, 66, 66, 66, 66, 66, 2882, 2882, 66, 66, 2882, 66, 1474, 2882, 1623, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 74, 74, 105, 105, 66, 42, 42, 74, 74, 74, 74, 74]",60083,42,2882,660.2527472527472,85,"[74, 74, 66, 68, 68, 70, 106, 462, 68, 137, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 174, 68, 122, 68, 96, 68, 84, 88, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 2882, 2882, 2882, 66, 66, 66, 66, 66, 66, 2882, 2882, 66, 66, 2882, 66, 1474, 2882, 1623, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 74, 74, 105, 105, 66, 74, 74, 74, 74, 74]",59831,66,2882,703.8941176470588,85,5,0,0,5.88235294117647,1.0106e-05,0.122780702,0.0342751421351351,0,0,[],0,0,0,0,85,"[74, 74, 66, 68, 68, 70, 106, 462, 68, 137, 66, 66, 66, 66, 66, 66, 66, 2511, 66, 68, 68, 70, 174, 68, 122, 68, 96, 68, 84, 88, 66, 66, 66, 2882, 2882, 2882, 2882, 2882, 66, 2882, 2882, 66, 66, 2882, 2882, 2882, 2882, 2882, 2882, 66, 66, 66, 66, 66, 66, 2882, 2882, 66, 66, 2882, 66, 1474, 2882, 1623, 66, 66, 68, 68, 70, 82, 66, 66, 66, 66, 66, 74, 74, 105, 105, 66, 74, 74, 74, 74, 74]",59831,66,2882,703.8941176470588,85,0,0.0,0,{},{},0,9,0,0,0,0.0,100,True,False
