DNS,Connect,TLS,TTFB,Time Pretransfer,Total,Redirect,Speed Download,Speed Upload,HTTP Code,Num Connects
0.146803,0.339666,0.536436,1.12834,0.536476,1.319624,0.0,38187.0,0.0,200.0,1.0
0.001273,0.188468,0.379485,0.566115,0.379523,0.56625,0.0,286.0,0.0,429.0,1.0
0.000948,0.193369,0.39,0.582346,0.390039,0.582469,0.0,278.0,0.0,429.0,1.0
0.001044,0.188155,0.380312,0.566174,0.380435,0.566296,0.0,286.0,0.0,429.0,1.0
0.001139,0.193998,0.391877,0.583474,0.392,0.583586,0.0,277.0,0.0,429.0,1.0
0.000963,0.18909,0.380805,0.567458,0.380924,0.567576,0.0,285.0,0.0,429.0,1.0
0.001286,0.188517,0.379227,0.565236,0.379352,0.565344,0.0,286.0,0.0,429.0,1.0
0.001157,0.194696,0.392223,0.584737,0.392345,0.584848,0.0,276.0,0.0,429.0,1.0
0.001172,0.188233,0.379001,0.564804,0.379061,0.565012,0.0,286.0,0.0,429.0,1.0
0.00097,0.189171,0.381668,0.96152,0.381707,1.147812,0.0,43903.0,0.0,200.0,1.0
0.000869,0.187819,0.378846,0.564505,0.378886,0.564631,0.0,286.0,0.0,429.0,1.0
0.001378,0.189788,0.381989,0.991548,0.382028,1.1783,0.0,42767.0,0.0,200.0,1.0
0.001103,0.194252,0.391127,0.583094,0.391254,0.583205,0.0,277.0,0.0,429.0,1.0
0.000835,0.193893,0.391001,0.58229,0.391124,0.582481,0.0,278.0,0.0,429.0,1.0
0.001017,0.193913,0.392063,0.583483,0.392186,0.583595,0.0,277.0,0.0,429.0,1.0
0.000983,0.193382,0.389697,0.580816,0.389737,0.581012,0.0,278.0,0.0,429.0,1.0
0.001371,0.190558,0.383927,1.056667,0.383967,1.24437,0.0,40496.0,0.0,200.0,1.0
0.000974,0.189292,0.381371,0.982898,0.381409,1.169316,0.0,43096.0,0.0,200.0,1.0
0.001157,0.193152,0.389125,0.580148,0.389247,0.580277,0.0,279.0,0.0,429.0,1.0
0.000866,0.19408,0.39145,0.980587,0.391575,1.172113,0.0,42993.0,0.0,200.0,1.0
0.001007,0.192956,0.389169,0.579761,0.389209,0.579893,0.0,279.0,0.0,429.0,1.0
0.000885,0.188179,0.379363,0.565615,0.379403,0.565743,0.0,286.0,0.0,429.0,1.0
0.001256,0.194733,0.391976,1.032241,0.392015,1.22417,0.0,41165.0,0.0,200.0,1.0
0.000912,0.192214,0.38781,0.577858,0.387848,0.577978,0.0,280.0,0.0,429.0,1.0
0.001251,0.188222,0.379223,0.944045,0.379262,1.129456,0.0,44617.0,0.0,200.0,1.0
