DNS,Connect,TLS,TTFB,Time Pretransfer,Total,Redirect,Speed Download,Speed Upload,HTTP Code,Num Connects
1.8e-05,0.000318,0.398051,0.59259,0.398181,0.592851,0.0,273.0,0.0,429.0,1.0
1.7e-05,0.000324,0.383378,0.959691,0.38343,1.145853,0.0,43978.0,0.0,200.0,1.0
1.6e-05,0.000315,0.382462,1.018617,0.382592,1.204123,0.0,41850.0,0.0,200.0,1.0
1.7e-05,0.000318,0.3936,1.002754,0.393652,1.192494,0.0,42258.0,0.0,200.0,1.0
1.7e-05,0.00033,0.382086,0.966879,0.382137,1.337586,0.0,37674.0,0.0,200.0,1.0
2e-05,0.000348,0.38141,1.010209,0.381549,1.195534,0.0,42151.0,0.0,200.0,1.0
2.4e-05,0.000352,0.382699,0.98394,0.382748,1.169553,0.0,43087.0,0.0,200.0,1.0
2.1e-05,0.00035,0.567857,1.185924,0.567985,1.558489,0.0,32334.0,0.0,200.0,1.0
2.1e-05,0.000329,0.391134,0.583455,0.391184,0.58356,0.0,277.0,0.0,429.0,1.0
2.1e-05,0.000312,0.512759,0.759024,0.512809,0.759135,0.0,213.0,0.0,429.0,1.0
1.8e-05,0.000318,0.393863,0.587507,0.393916,0.587634,0.0,275.0,0.0,429.0,1.0
1.7e-05,0.00032,0.391183,0.583524,0.391236,0.583702,0.0,277.0,0.0,429.0,1.0
2.2e-05,0.000318,0.390777,0.583041,0.390828,0.583204,0.0,277.0,0.0,429.0,1.0
2.2e-05,0.000319,0.391237,0.584067,0.391287,0.584243,0.0,277.0,0.0,429.0,1.0
2.2e-05,0.000316,0.568749,1.091285,0.568993,1.277641,0.0,39442.0,0.0,200.0,1.0
1.8e-05,0.000319,0.433261,0.626316,0.433312,0.626429,0.0,258.0,0.0,429.0,1.0
1.8e-05,0.000326,0.386294,0.575455,0.386355,0.575638,0.0,281.0,0.0,429.0,1.0
2.4e-05,0.000318,0.385733,0.573676,0.385798,0.573894,0.0,282.0,0.0,429.0,1.0
2e-05,0.000319,0.392097,0.584737,0.392149,0.584862,0.0,276.0,0.0,429.0,1.0
2.2e-05,0.000318,0.384072,0.571565,0.384122,0.571692,0.0,283.0,0.0,429.0,1.0
1.8e-05,0.000333,0.395068,1.017925,0.395196,1.209196,0.0,41674.0,0.0,200.0,1.0
2e-05,0.000338,0.384188,0.962135,0.384239,1.148726,0.0,43868.0,0.0,200.0,1.0
2.2e-05,0.00032,0.385116,0.944265,0.385167,1.130953,0.0,44557.0,0.0,200.0,1.0
2e-05,0.000335,0.391902,0.962899,0.391956,1.153587,0.0,43683.0,0.0,200.0,1.0
1.9e-05,0.000319,0.381985,0.569524,0.382116,0.56967,0.0,284.0,0.0,429.0,1.0
2.4e-05,0.000325,0.39123,0.945813,0.391282,1.135767,0.0,44369.0,0.0,200.0,1.0
2.1e-05,0.000336,0.396161,0.993317,0.396212,1.184401,0.0,42547.0,0.0,200.0,1.0
1.7e-05,0.000335,0.383823,0.572457,0.383874,0.572574,0.0,282.0,0.0,429.0,1.0
2.1e-05,0.000315,0.383285,0.571646,0.383336,0.571755,0.0,283.0,0.0,429.0,1.0
2.5e-05,0.000321,0.393277,0.586267,0.393406,0.586378,0.0,276.0,0.0,429.0,1.0
2.1e-05,0.00033,0.394026,0.587382,0.394078,0.587489,0.0,275.0,0.0,429.0,1.0
1.8e-05,0.00032,0.391797,0.584779,0.391847,0.584888,0.0,276.0,0.0,429.0,1.0
1.9e-05,0.000316,0.392241,0.585023,0.392294,0.585238,0.0,276.0,0.0,429.0,1.0
2.4e-05,0.000331,0.384467,0.934104,0.384526,1.120265,0.0,44983.0,0.0,200.0,1.0
1.7e-05,0.000326,0.391138,0.995766,0.391188,1.186008,0.0,42489.0,0.0,200.0,1.0
2.2e-05,0.000315,0.384001,1.128615,0.384053,1.315106,0.0,38318.0,0.0,200.0,1.0
2.1e-05,0.000339,0.3848,0.573838,0.384851,0.573952,0.0,282.0,0.0,429.0,1.0
1.8e-05,0.000315,0.394184,0.588097,0.394238,0.588353,0.0,275.0,0.0,429.0,1.0
1.9e-05,0.000321,0.382894,0.570937,0.382946,0.571153,0.0,283.0,0.0,429.0,1.0
2e-05,0.000325,0.382842,0.964692,0.382893,1.150791,0.0,43789.0,0.0,200.0,1.0
1.7e-05,0.000371,0.384976,1.011465,0.385028,1.198226,0.0,42056.0,0.0,200.0,1.0
1.7e-05,0.000361,0.394923,0.985645,0.395054,1.175182,0.0,42881.0,0.0,200.0,1.0
2.6e-05,0.000316,0.392174,1.001087,0.392226,1.191593,0.0,42290.0,0.0,200.0,1.0
2.1e-05,0.000334,0.381694,0.960801,0.381746,1.146609,0.0,43949.0,0.0,200.0,1.0
2.4e-05,0.000319,0.381626,0.569875,0.381676,0.569983,0.0,284.0,0.0,429.0,1.0
1.8e-05,0.000303,0.382177,0.57057,0.382228,0.570688,0.0,283.0,0.0,429.0,1.0
2.1e-05,0.00033,0.381747,0.569547,0.381797,0.569656,0.0,284.0,0.0,429.0,1.0
2.3e-05,0.00033,0.3912,0.583678,0.39126,0.583795,0.0,277.0,0.0,429.0,1.0
2.1e-05,0.000348,0.38152,0.568309,0.38157,0.568583,0.0,284.0,0.0,429.0,1.0
1.8e-05,0.00035,0.394024,0.959071,0.394078,1.150391,0.0,43805.0,0.0,200.0,1.0
1.9e-05,0.000324,0.391791,0.583978,0.391845,0.584087,0.0,277.0,0.0,429.0,1.0
1.7e-05,0.000337,0.392835,0.586005,0.392923,0.586115,0.0,276.0,0.0,429.0,1.0
2.3e-05,0.00032,0.391275,0.58385,0.391327,0.583999,0.0,277.0,0.0,429.0,1.0
1.7e-05,0.000316,0.386058,0.579484,0.386108,0.579592,0.0,279.0,0.0,429.0,1.0
2.1e-05,0.00033,0.3929,0.987091,0.392958,1.177813,0.0,42785.0,0.0,200.0,1.0
1.7e-05,0.00033,0.385676,0.955711,0.385726,1.142555,0.0,44105.0,0.0,200.0,1.0
2.2e-05,0.000305,0.395228,0.955512,0.395305,1.147713,0.0,43907.0,0.0,200.0,1.0
1.8e-05,0.000318,0.383995,0.572861,0.384051,0.57297,0.0,282.0,0.0,429.0,1.0
1.7e-05,0.000337,0.391745,0.584261,0.391874,0.584365,0.0,277.0,0.0,429.0,1.0
1.7e-05,0.000323,0.384076,0.574292,0.384249,0.574411,0.0,282.0,0.0,429.0,1.0
2e-05,0.000317,0.393144,0.58667,0.393194,0.586795,0.0,276.0,0.0,429.0,1.0
2.1e-05,0.000327,0.392123,0.97839,0.392178,1.168672,0.0,43119.0,0.0,200.0,1.0
1.8e-05,0.000336,0.382553,0.940765,0.382606,1.12625,0.0,44744.0,0.0,200.0,1.0
1.7e-05,0.00035,0.391361,0.981882,0.391412,1.172113,0.0,42993.0,0.0,200.0,1.0
2.1e-05,0.000324,0.382554,0.576261,0.382679,0.576369,0.0,281.0,0.0,429.0,1.0
2.2e-05,0.000317,0.392605,0.585695,0.392664,0.585823,0.0,276.0,0.0,429.0,1.0
2.1e-05,0.000324,0.393793,0.587484,0.393843,0.587601,0.0,275.0,0.0,429.0,1.0
2.9e-05,0.000318,0.393162,1.008075,0.39329,1.199084,0.0,42026.0,0.0,200.0,1.0
2.2e-05,0.000324,0.391541,0.584088,0.391591,0.58429,0.0,277.0,0.0,429.0,1.0
1.9e-05,0.000326,0.384289,0.944837,0.384342,1.13145,0.0,44538.0,0.0,200.0,1.0
2e-05,0.000321,0.382665,1.019015,0.382715,1.204783,0.0,41827.0,0.0,200.0,1.0
1.7e-05,0.000311,0.38459,0.966905,0.384641,1.153108,0.0,43701.0,0.0,200.0,1.0
1.7e-05,0.000325,0.391812,0.586184,0.391863,0.586293,0.0,276.0,0.0,429.0,1.0
1.7e-05,0.000322,0.390068,0.582095,0.39012,0.582318,0.0,278.0,0.0,429.0,1.0
1.9e-05,0.000324,0.386774,0.57645,0.386828,0.576669,0.0,280.0,0.0,429.0,1.0
2.2e-05,0.000319,0.391076,0.584403,0.391206,0.584523,0.0,277.0,0.0,429.0,1.0
2.1e-05,0.000314,0.385311,0.574846,0.385362,0.574963,0.0,281.0,0.0,429.0,1.0
1.9e-05,0.000339,0.393875,0.586883,0.393928,0.587095,0.0,275.0,0.0,429.0,1.0
2.2e-05,0.000336,0.383489,0.572499,0.38362,0.572685,0.0,282.0,0.0,429.0,1.0
2e-05,0.000326,0.382256,1.005204,0.38231,1.190655,0.0,42323.0,0.0,200.0,1.0
2.1e-05,0.000313,0.380877,0.568628,0.380928,0.568811,0.0,284.0,0.0,429.0,1.0
2e-05,0.000321,0.383532,0.571857,0.383582,0.571974,0.0,283.0,0.0,429.0,1.0
2e-05,0.000344,0.392466,0.585356,0.392516,0.585466,0.0,276.0,0.0,429.0,1.0
2.4e-05,0.000328,0.395278,0.589722,0.39533,0.589833,0.0,274.0,0.0,429.0,1.0
2.3e-05,0.000326,0.392952,1.037182,0.393004,1.228164,0.0,41031.0,0.0,200.0,1.0
1.9e-05,0.000347,0.392402,0.585451,0.392454,0.585635,0.0,276.0,0.0,429.0,1.0
2.1e-05,0.00031,0.392304,0.952545,0.392438,1.14302,0.0,44087.0,0.0,200.0,1.0
1.8e-05,0.000316,0.393604,0.968065,0.393663,1.159244,0.0,43470.0,0.0,200.0,1.0
1.9e-05,0.000322,0.582787,1.155573,0.58284,1.346691,0.0,37419.0,0.0,200.0,1.0
1.7e-05,0.000315,0.385135,0.980363,0.385185,1.167386,0.0,43167.0,0.0,200.0,1.0
2.2e-05,0.000306,0.577935,0.76621,0.577988,0.766393,0.0,211.0,0.0,429.0,1.0
1.9e-05,0.000342,0.391444,0.583704,0.391571,0.583814,0.0,277.0,0.0,429.0,1.0
1.7e-05,0.000314,0.389614,1.010599,0.389667,1.200028,0.0,41993.0,0.0,200.0,1.0
2.1e-05,0.000322,0.563753,0.751304,0.563883,0.75141,0.0,215.0,0.0,429.0,1.0
2.1e-05,0.000319,0.382459,0.570262,0.382511,0.570371,0.0,284.0,0.0,429.0,1.0
1.8e-05,0.000315,0.381534,0.568893,0.381586,0.569006,0.0,284.0,0.0,429.0,1.0
1.8e-05,0.000315,0.390973,0.923977,0.391137,1.114045,0.0,45234.0,0.0,200.0,1.0
2.1e-05,0.000317,0.391808,0.988939,0.391859,1.179817,0.0,42712.0,0.0,200.0,1.0
2e-05,0.000321,0.384381,0.574568,0.384431,0.574684,0.0,281.0,0.0,429.0,1.0
1.7e-05,0.000326,0.381815,0.909835,0.381871,1.095233,0.0,46011.0,0.0,200.0,1.0
