DNS,Connect,TLS,TTFB,Time Pretransfer,Total,Redirect,Speed Download,Speed Upload,HTTP Code,Num Connects
2.3e-05,0.000321,0.384073,0.933287,0.384123,1.119581,0.0,45010.0,0.0,200.0,1.0
1.8e-05,0.000317,0.381384,0.898127,0.381436,1.084232,0.0,46478.0,0.0,200.0,1.0
1.7e-05,0.000337,0.578471,1.095783,0.578602,1.286105,0.0,39182.0,0.0,200.0,1.0
1.8e-05,0.000373,0.380989,0.950469,0.38104,1.136439,0.0,44342.0,0.0,200.0,1.0
2e-05,0.000343,0.396229,0.590859,0.396281,0.590977,0.0,274.0,0.0,429.0,1.0
1.8e-05,0.000326,0.380648,0.568604,0.3807,0.568713,0.0,284.0,0.0,429.0,1.0
2.1e-05,0.000337,0.381262,0.570063,0.381314,0.570246,0.0,284.0,0.0,429.0,1.0
2.2e-05,0.000327,0.580486,0.774036,0.580538,0.774152,0.0,209.0,0.0,429.0,1.0
1.9e-05,0.000328,0.391602,0.585077,0.391654,0.585199,0.0,276.0,0.0,429.0,1.0
2.1e-05,0.000324,0.391847,0.586526,0.391982,0.586643,0.0,276.0,0.0,429.0,1.0
2e-05,0.000301,0.389349,0.963611,0.389406,1.153632,0.0,43682.0,0.0,200.0,1.0
1.6e-05,0.000323,0.388983,0.972297,0.389035,1.162053,0.0,43365.0,0.0,200.0,1.0
3e-05,0.000341,0.38361,0.572508,0.383663,0.572632,0.0,282.0,0.0,429.0,1.0
1.7e-05,0.000326,0.384401,0.574241,0.384529,0.57436,0.0,282.0,0.0,429.0,1.0
2.3e-05,0.000394,0.384744,0.575199,0.384794,0.575304,0.0,281.0,0.0,429.0,1.0
2.1e-05,0.000321,0.380672,0.927261,0.380724,1.112598,0.0,45293.0,0.0,200.0,1.0
2.2e-05,0.000322,0.393548,0.967479,0.393603,1.159343,0.0,43466.0,0.0,200.0,1.0
1.7e-05,0.00033,0.377134,0.95122,0.377187,1.13658,0.0,44337.0,0.0,200.0,1.0
1.8e-05,0.000323,0.391514,0.584584,0.391565,0.584694,0.0,277.0,0.0,429.0,1.0
1.8e-05,0.000321,0.567675,1.112428,0.567727,1.299568,0.0,38776.0,0.0,200.0,1.0
2.2e-05,0.000336,0.382961,0.572433,0.383016,0.572635,0.0,282.0,0.0,429.0,1.0
1.7e-05,0.000316,0.379813,0.568048,0.379865,0.568226,0.0,285.0,0.0,429.0,1.0
1.8e-05,0.000329,0.390433,0.583124,0.390484,0.583299,0.0,277.0,0.0,429.0,1.0
