website,id,date,layer_counts,all_packet_count,all_packet_sizes,all_packet_total_size,all_packet_min_size,all_packet_max_size,all_packet_average_size,tcp_packet_count,tcp_packet_sizes,tcp_packet_total_size,tcp_packet_min_size,tcp_packet_max_size,tcp_packet_average_size,tcp_count,tcp_retransmissions,tcp_duplicate_acks,tcp_fast_retransmissions,tcp_retransmission_percentage,tcp_min_rtt,tcp_max_rtt,tcp_avg_rtt,udp_count,udp_packet_count,udp_packet_sizes,udp_packet_total_size,udp_packet_min_size,udp_packet_max_size,udp_packet_average_size,ip_packet_count,ip_packet_sizes,ip_packet_total_size,ip_packet_min_size,ip_packet_max_size,ip_packet_average_size,ip_count,ip_fragmented,ip_fragmentation_percentage,dns_count,dns_query_types,dns_response_codes,dns_incomplete_transactions,data_count,data_total_payload_size,data_min_payload_size,data_max_payload_size,data_avg_payload_size,param_frag_size,param_tcp_frag,param_record_frag
http://comiteddhhguajira.blogspot.com/,96b5a6f2-8814-47db-8acf-86e0cf81af81,2025-04-23 16:56:28,"{'eth': 77, 'ip': 77, 'tcp': 77, 'DATA': 2, 'http': 2, 'data-text-lines': 1}",77,"[78, 74, 66, 91, 91, 91, 84, 159, 78, 1354, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",69991,66,1354,908.974025974026,77,"[78, 74, 66, 91, 91, 91, 84, 159, 78, 1354, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",69991,66,1354,908.974025974026,77,1,0,0,1.2987012987012987,6.1e-05,0.111543,0.009625769230769231,0,0,[],0,0,0,0,77,"[78, 74, 66, 91, 91, 91, 84, 159, 78, 1354, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",69991,66,1354,908.974025974026,77,0,0.0,0,{},{},0,2,0,0,0,0,5,True,False
http://comiteddhhguajira.blogspot.com/,717cccb7-8c53-4b9f-891c-e7efcec3a961,2025-04-23 16:56:39,"{'eth': 82, 'ip': 82, 'tcp': 82, 'DATA': 2, 'http': 2, 'data-text-lines': 1}",82,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70216,66,1354,856.2926829268292,82,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70216,66,1354,856.2926829268292,82,0,0,0,0.0,9.8e-05,0.006109,0.0016981764705882355,0,0,[],0,0,0,0,82,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70216,66,1354,856.2926829268292,82,0,0.0,0,{},{},0,2,0,0,0,0,5,True,False
http://comiteddhhguajira.blogspot.com/,bd430f7c-181d-46fe-a61c-ea8b21e674a9,2025-04-23 16:56:55,"{'eth': 90, 'ip': 90, 'tcp': 90, 'DATA': 2, 'http': 2, 'data-text-lines': 1}",90,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 357, 66, 66, 66, 66]",70744,66,1354,786.0444444444445,90,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 357, 66, 66, 66, 66]",70744,66,1354,786.0444444444445,90,0,0,0,0.0,6.7e-05,0.043644,0.008399380952380952,0,0,[],0,0,0,0,90,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 357, 66, 66, 66, 66]",70744,66,1354,786.0444444444445,90,0,0.0,0,{},{},0,2,0,0,0,0,5,True,False
http://comiteddhhguajira.blogspot.com/,1ad41a5e-0e44-4626-aacf-dec30ced63a6,2025-04-23 16:57:25,"{'eth': 76, 'ip': 76, 'tcp': 76, 'DATA': 2, 'http': 2, 'data-text-lines': 1}",76,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66, 66]",69820,66,1354,918.6842105263158,76,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66, 66]",69820,66,1354,918.6842105263158,76,0,0,0,0.0,4.9e-05,0.006018,0.0016041538461538463,0,0,[],0,0,0,0,76,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66, 66]",69820,66,1354,918.6842105263158,76,0,0.0,0,{},{},0,2,0,0,0,0,5,True,False
http://comiteddhhguajira.blogspot.com/,f32150bf-8ac3-46bd-9854-afbf03e34652,2025-04-23 16:57:41,"{'eth': 81, 'ip': 81, 'tcp': 81, 'DATA': 2, 'http': 2, 'data-text-lines': 1}",81,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70150,66,1354,866.0493827160494,81,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70150,66,1354,866.0493827160494,81,0,0,0,0.0,8.1e-05,0.006196,0.0019688823529411766,0,0,[],0,0,0,0,81,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70150,66,1354,866.0493827160494,81,0,0.0,0,{},{},0,2,0,0,0,0,5,True,False
http://comiteddhhguajira.blogspot.com/,ecc1d357-49b8-472a-9583-751a97b3bac9,2025-04-23 16:58:03,"{'eth': 84, 'ip': 84, 'tcp': 84, 'DATA': 2, 'http': 2, 'data-text-lines': 1}",84,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70348,66,1354,837.4761904761905,84,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70348,66,1354,837.4761904761905,84,0,0,0,0.0,3.6e-05,0.0074,0.002074222222222222,0,0,[],0,0,0,0,84,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70348,66,1354,837.4761904761905,84,0,0.0,0,{},{},0,2,0,0,0,0,5,True,False
http://comiteddhhguajira.blogspot.com/,5b996716-ce27-492f-be25-5fc065def45f,2025-04-23 16:58:24,"{'eth': 80, 'ip': 80, 'tcp': 80, 'DATA': 2, 'http': 2, 'data-text-lines': 1}",80,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70084,66,1354,876.05,80,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70084,66,1354,876.05,80,0,0,0,0.0,6e-05,0.005756,0.0019526875,0,0,[],0,0,0,0,80,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70084,66,1354,876.05,80,0,0.0,0,{},{},0,2,0,0,0,0,5,True,False
http://comiteddhhguajira.blogspot.com/,771cde31-7341-4cad-99f8-475cceeee56b,2025-04-23 16:58:38,"{'eth': 79, 'ip': 79, 'tcp': 79, 'DATA': 2, 'http': 2, 'data-text-lines': 1}",79,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70018,66,1354,886.3037974683544,79,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70018,66,1354,886.3037974683544,79,0,0,0,0.0,0.0001,0.009914,0.0029598124999999998,0,0,[],0,0,0,0,79,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66]",70018,66,1354,886.3037974683544,79,0,0.0,0,{},{},0,2,0,0,0,0,5,True,False
http://comiteddhhguajira.blogspot.com/,38285f2c-5233-4380-a911-f76f60885308,2025-04-23 16:58:49,"{'eth': 76, 'ip': 76, 'tcp': 76, 'DATA': 1, 'http': 2}",76,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 78, 78, 1354, 1354, 1354, 1354, 66, 66, 66, 66, 66]",69844,66,1354,919.0,76,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 78, 78, 1354, 1354, 1354, 1354, 66, 66, 66, 66, 66]",69844,66,1354,919.0,76,4,2,4,5.263157894736842,0.0001,0.005209,0.002256214285714286,0,0,[],0,0,0,0,76,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 78, 78, 1354, 1354, 1354, 1354, 66, 66, 66, 66, 66]",69844,66,1354,919.0,76,0,0.0,0,{},{},0,1,0,0,0,0,5,True,False
http://comiteddhhguajira.blogspot.com/,a53006c5-1894-4513-b5bf-b9772b7424e0,2025-04-23 16:59:00,"{'eth': 73, 'ip': 73, 'tcp': 73, 'DATA': 2, 'http': 2, 'data-text-lines': 1}",73,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66, 66]",69622,66,1354,953.7260273972603,73,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66, 66]",69622,66,1354,953.7260273972603,73,0,0,0,0.0,0.000168,0.005008,0.0021426153846153847,0,0,[],0,0,0,0,73,"[78, 74, 66, 91, 91, 91, 84, 66, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 357, 66, 66, 66, 66, 66, 66]",69622,66,1354,953.7260273972603,73,0,0.0,0,{},{},0,2,0,0,0,0,5,True,False
