website,id,date,layer_counts,all_packet_count,all_packet_sizes,all_packet_total_size,all_packet_min_size,all_packet_max_size,all_packet_average_size,tcp_packet_count,tcp_packet_sizes,tcp_packet_total_size,tcp_packet_min_size,tcp_packet_max_size,tcp_packet_average_size,tcp_count,tcp_retransmissions,tcp_duplicate_acks,tcp_fast_retransmissions,tcp_retransmission_percentage,tcp_min_rtt,tcp_max_rtt,tcp_avg_rtt,udp_count,udp_packet_count,udp_packet_sizes,udp_packet_total_size,udp_packet_min_size,udp_packet_max_size,udp_packet_average_size,rtp_count,dns_count,dns_incomplete_transactions,ip_packet_count,ip_packet_sizes,ip_packet_total_size,ip_packet_min_size,ip_packet_max_size,ip_packet_average_size,ip_count,ip_fragmented,ip_fragmentation_percentage,dns_query_types,dns_response_codes,data_count,data_total_payload_size,data_min_payload_size,data_max_payload_size,data_avg_payload_size
https://www.scmp.com/,2ff62385-c416-4e93-9ee9-3e904cf78fd0,2025-05-01 06:48:19,"{'eth': 101, 'ip': 97, 'tcp': 83, 'ssh': 12, 'tls': 29, 'icmp': 6, 'arp': 4, 'udp': 8, 'dns': 8}",101,"[66, 89, 66, 106, 66, 1002, 1202, 66, 74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 66, 114, 66, 590, 438, 93, 66, 66, 82, 66, 117, 1282, 66, 267, 66, 135, 105, 66, 110, 66, 110, 142, 110, 118, 66, 66, 66, 82, 82, 82, 82, 82, 82, 90, 66, 66, 66, 66, 66, 42, 42, 90, 66, 66, 66, 66, 105, 105, 66, 83, 83, 83, 83, 115, 139, 115, 139, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 495, 1457, 1457, 2829, 97, 66, 66, 66, 66, 42, 42]",30340,42,5329,300.3960396039604,83,"[66, 89, 66, 106, 66, 1002, 1202, 66, 74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 66, 114, 66, 590, 438, 93, 66, 66, 82, 66, 117, 1282, 66, 267, 66, 135, 105, 66, 110, 66, 110, 142, 110, 118, 66, 66, 66, 90, 66, 66, 66, 66, 66, 90, 66, 66, 66, 66, 105, 105, 66, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 495, 1457, 1457, 2829, 97, 66, 66, 66, 66]",28840,66,5329,347.4698795180723,83,0,0,0,0.0,2.7815e-05,0.261069761,0.03705065546511628,8,8,"[83, 83, 83, 83, 115, 139, 115, 139]",840,83,139,105.0,0,8,0,97,"[66, 89, 66, 106, 66, 1002, 1202, 66, 74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 66, 114, 66, 590, 438, 93, 66, 66, 82, 66, 117, 1282, 66, 267, 66, 135, 105, 66, 110, 66, 110, 142, 110, 118, 66, 66, 66, 82, 82, 82, 82, 82, 82, 90, 66, 66, 66, 66, 66, 90, 66, 66, 66, 66, 105, 105, 66, 83, 83, 83, 83, 115, 139, 115, 139, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 495, 1457, 1457, 2829, 97, 66, 66, 66, 66]",30172,66,5329,311.0515463917526,97,0,0.0,"{'1': 4, '28': 4}",{},0,0,0,0,0
https://www.scmp.com/,c5dad9c7-520b-4ee4-ac0b-134f09c798d7,2025-05-01 07:15:04,"{'eth': 115, 'ip': 109, 'tcp': 101, 'ssh': 16, 'tls': 24, 'arp': 6, '_ws.malformed': 3, 'udp': 8, 'dns': 8, 'http': 8, 'json': 4}",115,"[130, 74, 74, 66, 394, 66, 3389, 66, 146, 1403, 66, 587, 66, 42, 42, 438, 93, 66, 90, 66, 66, 66, 66, 146, 130, 130, 66, 66, 66, 74, 74, 66, 88, 66, 106, 66, 1202, 1042, 66, 66, 114, 66, 598, 66, 82, 66, 118, 66, 118, 166, 118, 118, 66, 66, 66, 42, 42, 1291, 66, 268, 66, 135, 105, 66, 83, 83, 83, 83, 115, 115, 139, 74, 139, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 497, 1457, 2848, 1469, 66, 66, 66, 66, 1837, 54, 1837, 54, 1837, 281, 54, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 54, 54, 42, 42]",39163,42,5329,340.54782608695655,101,"[130, 74, 74, 66, 394, 66, 3389, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 90, 66, 66, 66, 66, 146, 130, 130, 66, 66, 66, 74, 74, 66, 88, 66, 106, 66, 1202, 1042, 66, 66, 114, 66, 598, 66, 82, 66, 118, 66, 118, 166, 118, 118, 66, 66, 66, 1291, 66, 268, 66, 135, 105, 66, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 497, 1457, 2848, 1469, 66, 66, 66, 66, 1837, 54, 1837, 54, 1837, 281, 54, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 54, 54]",38071,54,5329,376.94059405940595,101,0,0,0,0.0,1.8528e-05,0.769313407,0.040797597641509434,8,8,"[83, 83, 83, 83, 115, 115, 139, 139]",840,83,139,105.0,0,8,0,109,"[130, 74, 74, 66, 394, 66, 3389, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 90, 66, 66, 66, 66, 146, 130, 130, 66, 66, 66, 74, 74, 66, 88, 66, 106, 66, 1202, 1042, 66, 66, 114, 66, 598, 66, 82, 66, 118, 66, 118, 166, 118, 118, 66, 66, 66, 1291, 66, 268, 66, 135, 105, 66, 83, 83, 83, 83, 115, 115, 139, 74, 139, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 497, 1457, 2848, 1469, 66, 66, 66, 66, 1837, 54, 1837, 54, 1837, 281, 54, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 54, 54]",38911,54,5329,356.9816513761468,109,0,0.0,"{'1': 4, '28': 4}",{},0,0,0,0,0
https://www.scmp.com/,fd9fc640-6a21-46fb-879f-9b138e02f745,2025-05-01 07:42:20,"{'eth': 93, 'ip': 87, 'icmp': 6, 'udp': 10, 'dns': 10, 'tcp': 71, 'tls': 20, 'arp': 6, 'ssh': 12, '_ws.malformed': 4}",93,"[82, 82, 82, 82, 82, 82, 97, 74, 74, 66, 394, 66, 161, 3389, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 42, 42, 90, 66, 66, 66, 66, 66, 54, 42, 42, 83, 83, 83, 83, 115, 139, 115, 139, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 495, 1457, 2848, 1438, 97, 66, 66, 66, 66, 74, 74, 66, 88, 66, 106, 66, 1202, 1042, 66, 66, 114, 66, 598, 66, 82, 66, 118, 66, 118, 42, 42, 66, 150, 118, 118, 66, 66, 66]",28274,42,5329,304.02150537634407,71,"[74, 74, 66, 394, 66, 3389, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 90, 66, 66, 66, 66, 66, 54, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 495, 1457, 2848, 1438, 97, 66, 66, 66, 66, 74, 74, 66, 88, 66, 106, 66, 1202, 1042, 66, 66, 114, 66, 598, 66, 82, 66, 118, 66, 118, 66, 150, 118, 118, 66, 66, 66]",26432,54,5329,372.28169014084506,71,0,0,0,0.0,2.2492e-05,0.156365601,0.03645100644117647,10,10,"[97, 161, 83, 83, 83, 83, 115, 139, 115, 139]",1098,83,161,109.8,0,10,0,87,"[82, 82, 82, 82, 82, 82, 97, 74, 74, 66, 394, 66, 161, 3389, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 90, 66, 66, 66, 66, 66, 54, 83, 83, 83, 83, 115, 139, 115, 139, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 495, 1457, 2848, 1438, 97, 66, 66, 66, 66, 74, 74, 66, 88, 66, 106, 66, 1202, 1042, 66, 66, 114, 66, 598, 66, 82, 66, 118, 66, 118, 66, 150, 118, 118, 66, 66, 66]",28022,54,5329,322.0919540229885,87,0,0.0,"{'1': 6, '28': 4}",{},0,0,0,0,0
https://www.scmp.com/,382e1989-8801-400f-bb33-10701c8808c2,2025-05-01 08:09:06,"{'eth': 122, 'ip': 118, 'tcp': 110, 'tls': 30, 'arp': 4, 'ssh': 6, 'udp': 8, 'dns': 8, 'http': 8, 'json': 4}",122,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 66, 587, 66, 437, 93, 66, 90, 66, 66, 66, 66, 66, 90, 66, 66, 66, 66, 66, 74, 74, 42, 42, 74, 1291, 66, 261, 66, 135, 66, 105, 74, 74, 66, 74, 74, 74, 74, 66, 81, 66, 106, 83, 83, 83, 83, 139, 139, 115, 74, 115, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 494, 1457, 2848, 1438, 97, 66, 66, 66, 66, 1202, 78, 106, 66, 922, 66, 146, 66, 378, 1837, 1837, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 378, 42, 42, 78, 74, 1303, 66, 259, 66, 135, 66, 105, 66]",40751,42,5329,334.0245901639344,110,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 66, 587, 66, 437, 93, 66, 90, 66, 66, 66, 66, 66, 90, 66, 66, 66, 66, 66, 74, 74, 74, 1291, 66, 261, 66, 135, 66, 105, 74, 74, 66, 74, 74, 74, 74, 66, 81, 66, 106, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 494, 1457, 2848, 1438, 97, 66, 66, 66, 66, 1202, 78, 106, 66, 922, 66, 146, 66, 378, 1837, 1837, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 378, 78, 74, 1303, 66, 259, 66, 135, 66, 105, 66]",39743,54,5329,361.3,110,7,0,0,6.363636363636363,1.6896e-05,2.21719116,0.07571605630612245,8,8,"[83, 83, 83, 83, 139, 139, 115, 115]",840,83,139,105.0,0,8,0,118,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 66, 587, 66, 437, 93, 66, 90, 66, 66, 66, 66, 66, 90, 66, 66, 66, 66, 66, 74, 74, 74, 1291, 66, 261, 66, 135, 66, 105, 74, 74, 66, 74, 74, 74, 74, 66, 81, 66, 106, 83, 83, 83, 83, 139, 139, 115, 74, 115, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 494, 1457, 2848, 1438, 97, 66, 66, 66, 66, 1202, 78, 106, 66, 922, 66, 146, 66, 378, 1837, 1837, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 378, 78, 74, 1303, 66, 259, 66, 135, 66, 105, 66]",40583,54,5329,343.9237288135593,118,0,0.0,"{'1': 4, '28': 4}",{},0,0,0,0,0
https://www.scmp.com/,963ae657-3c97-4f5f-b8a1-52e55cb95ed2,2025-05-01 08:35:50,"{'eth': 105, 'ip': 99, 'tcp': 91, 'ssh': 13, 'tls': 27, 'arp': 6, 'udp': 8, 'dns': 8}",105,"[118, 66, 66, 66, 90, 66, 66, 66, 66, 74, 74, 66, 394, 66, 3388, 66, 146, 1403, 587, 66, 66, 438, 93, 66, 74, 74, 42, 42, 66, 81, 66, 106, 66, 1202, 986, 66, 66, 146, 66, 378, 66, 82, 66, 130, 66, 130, 66, 146, 130, 130, 66, 66, 66, 90, 66, 66, 66, 66, 66, 626, 66, 259, 66, 135, 66, 105, 66, 105, 105, 66, 42, 42, 83, 83, 83, 83, 115, 139, 139, 74, 115, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 66, 498, 1457, 2848, 1438, 66, 97, 66, 66, 66, 42, 42]",29666,42,5329,282.53333333333336,91,"[118, 66, 66, 66, 90, 66, 66, 66, 66, 74, 74, 66, 394, 66, 3388, 66, 146, 1403, 587, 66, 66, 438, 93, 66, 74, 74, 66, 81, 66, 106, 66, 1202, 986, 66, 66, 146, 66, 378, 66, 82, 66, 130, 66, 130, 66, 146, 130, 130, 66, 66, 66, 90, 66, 66, 66, 66, 66, 626, 66, 259, 66, 135, 66, 105, 66, 105, 105, 66, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 66, 498, 1457, 2848, 1438, 66, 97, 66, 66, 66]",28574,66,5329,314.0,91,0,0,0,0.0,2.0453e-05,0.227802829,0.03906937185106383,8,8,"[83, 83, 83, 83, 115, 139, 139, 115]",840,83,139,105.0,0,8,0,99,"[118, 66, 66, 66, 90, 66, 66, 66, 66, 74, 74, 66, 394, 66, 3388, 66, 146, 1403, 587, 66, 66, 438, 93, 66, 74, 74, 66, 81, 66, 106, 66, 1202, 986, 66, 66, 146, 66, 378, 66, 82, 66, 130, 66, 130, 66, 146, 130, 130, 66, 66, 66, 90, 66, 66, 66, 66, 66, 626, 66, 259, 66, 135, 66, 105, 66, 105, 105, 66, 83, 83, 83, 83, 115, 139, 139, 74, 115, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 66, 498, 1457, 2848, 1438, 66, 97, 66, 66, 66]",29414,66,5329,297.1111111111111,99,0,0.0,"{'1': 4, '28': 4}",{},0,0,0,0,0
https://www.scmp.com/,e936f0db-cc6a-41c0-96c4-3fc305a05cd9,2025-05-01 09:02:26,"{'eth': 84, 'ip': 78, 'tcp': 70, 'tls': 22, 'arp': 6, 'udp': 8, 'dns': 8, 'ssh': 12}",84,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 42, 42, 90, 66, 66, 66, 66, 66, 42, 42, 83, 83, 83, 83, 139, 115, 115, 74, 139, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 66, 494, 1457, 2848, 1438, 66, 97, 66, 66, 66, 105, 105, 66, 74, 74, 66, 89, 66, 106, 66, 1002, 1202, 66, 114, 66, 590, 82, 66, 110, 66, 110, 42, 42, 142, 110, 118, 66, 66]",27467,42,5329,326.98809523809524,70,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 90, 66, 66, 66, 66, 66, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 66, 494, 1457, 2848, 1438, 66, 97, 66, 66, 66, 105, 105, 66, 74, 74, 66, 89, 66, 106, 66, 1002, 1202, 66, 114, 66, 590, 82, 66, 110, 66, 110, 142, 110, 118, 66, 66]",26375,66,5329,376.7857142857143,70,0,0,0,0.0,2.3369e-05,0.262888786,0.04146668118918919,8,8,"[83, 83, 83, 83, 139, 115, 115, 139]",840,83,139,105.0,0,8,0,78,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 90, 66, 66, 66, 66, 66, 83, 83, 83, 83, 139, 115, 115, 74, 139, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 66, 494, 1457, 2848, 1438, 66, 97, 66, 66, 66, 105, 105, 66, 74, 74, 66, 89, 66, 106, 66, 1002, 1202, 66, 114, 66, 590, 82, 66, 110, 66, 110, 142, 110, 118, 66, 66]",27215,66,5329,348.9102564102564,78,0,0.0,"{'1': 4, '28': 4}",{},0,0,0,0,0
https://www.scmp.com/,71e18462-71dc-4226-b835-f9455414aa88,2025-05-01 09:28:55,"{'eth': 65, 'ip': 61, 'tcp': 53, 'tls': 25, 'arp': 4, 'ssh': 1, 'udp': 8, 'dns': 8}",65,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 625, 66, 259, 66, 135, 66, 105, 66, 42, 42, 90, 66, 66, 66, 66, 66, 1202, 83, 83, 83, 83, 139, 115, 139, 74, 115, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 494, 1457, 1457, 1457, 1438, 97, 66, 66, 66, 66, 42, 42]",25179,42,5329,387.3692307692308,53,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 625, 66, 259, 66, 135, 66, 105, 66, 90, 66, 66, 66, 66, 66, 1202, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 494, 1457, 1457, 1457, 1438, 97, 66, 66, 66, 66]",24171,66,5329,456.0566037735849,53,0,0,0,0.0,3.1492e-05,0.043177796,0.005035082458333334,8,8,"[83, 83, 83, 83, 139, 115, 139, 115]",840,83,139,105.0,0,8,0,61,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 625, 66, 259, 66, 135, 66, 105, 66, 90, 66, 66, 66, 66, 66, 1202, 83, 83, 83, 83, 139, 115, 139, 74, 115, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 66, 635, 97, 494, 1457, 1457, 1457, 1438, 97, 66, 66, 66, 66]",25011,66,5329,410.0163934426229,61,0,0.0,"{'1': 4, '28': 4}",{},0,0,0,0,0
https://www.scmp.com/,68eec1f8-2f4a-435d-93d3-69a9ed41f82b,2025-05-01 09:55:48,"{'eth': 174, 'ip': 168, 'tcp': 160, 'tls': 57, 'arp': 6, 'DATA': 4, 'udp': 8, 'dns': 8}",174,"[74, 74, 66, 394, 66, 3389, 66, 146, 1403, 587, 66, 66, 42, 42, 437, 93, 66, 90, 66, 66, 66, 66, 66, 109, 7106, 5698, 66, 66, 66, 66, 5698, 5698, 5698, 11330, 66, 66, 5698, 5698, 66, 66, 66, 66, 66, 2304, 66, 66, 66, 66, 66, 269, 66, 135, 105, 117, 16472, 32878, 66, 66, 66, 66, 10854, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 261, 135, 117, 66, 105, 16472, 32878, 7216, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 259, 135, 105, 109, 13887, 66, 66, 66, 66, 268, 135, 105, 66, 54, 54, 54, 54, 54, 54, 54, 54, 42, 42, 83, 83, 83, 83, 139, 115, 115, 139, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 496, 1457, 2848, 1438, 97, 66, 66, 66, 66, 626, 66, 259, 66, 135, 66, 105, 66, 42, 42, 54, 54, 54, 66, 66, 90, 66, 66, 66, 66, 66]",217049,42,32878,1247.4080459770114,160,"[74, 74, 66, 394, 66, 3389, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 90, 66, 66, 66, 66, 66, 109, 7106, 5698, 66, 66, 66, 66, 5698, 5698, 5698, 11330, 66, 66, 5698, 5698, 66, 66, 66, 66, 66, 2304, 66, 66, 66, 66, 66, 269, 66, 135, 105, 117, 16472, 32878, 66, 66, 66, 66, 10854, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 261, 135, 117, 66, 105, 16472, 32878, 7216, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 259, 135, 105, 109, 13887, 66, 66, 66, 66, 268, 135, 105, 66, 54, 54, 54, 54, 54, 54, 54, 54, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 496, 1457, 2848, 1438, 97, 66, 66, 66, 66, 626, 66, 259, 66, 135, 66, 105, 66, 54, 54, 54, 66, 66, 90, 66, 66, 66, 66, 66]",215957,54,32878,1349.73125,160,1,0,0,0.625,1.5e-05,0.043330815,0.0034115837368421057,8,8,"[83, 83, 83, 83, 139, 115, 115, 139]",840,83,139,105.0,0,8,0,168,"[74, 74, 66, 394, 66, 3389, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 90, 66, 66, 66, 66, 66, 109, 7106, 5698, 66, 66, 66, 66, 5698, 5698, 5698, 11330, 66, 66, 5698, 5698, 66, 66, 66, 66, 66, 2304, 66, 66, 66, 66, 66, 269, 66, 135, 105, 117, 16472, 32878, 66, 66, 66, 66, 10854, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 261, 135, 117, 66, 105, 16472, 32878, 7216, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 259, 135, 105, 109, 13887, 66, 66, 66, 66, 268, 135, 105, 66, 54, 54, 54, 54, 54, 54, 54, 54, 83, 83, 83, 83, 139, 115, 115, 139, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 496, 1457, 2848, 1438, 97, 66, 66, 66, 66, 626, 66, 259, 66, 135, 66, 105, 66, 54, 54, 54, 66, 66, 90, 66, 66, 66, 66, 66]",216797,54,32878,1290.4583333333333,168,0,0.0,"{'1': 4, '28': 4}",{},4,0,0,0,0
https://www.scmp.com/,7a55c4a7-18e2-48ca-bb39-4886b84ba0b9,2025-05-01 10:22:24,"{'eth': 79, 'ip': 75, 'tcp': 67, 'ssh': 9, 'tls': 23, 'arp': 4, 'udp': 8, 'dns': 8}",79,"[66, 110, 66, 110, 150, 110, 74, 74, 66, 394, 66, 3388, 66, 118, 66, 146, 1403, 66, 587, 66, 66, 105, 105, 66, 438, 93, 66, 66, 90, 66, 66, 66, 66, 66, 54, 42, 42, 83, 83, 83, 83, 115, 115, 139, 139, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 499, 1457, 2848, 1438, 66, 97, 66, 66, 66, 42, 42, 74, 74, 66, 81, 66, 106, 66, 922, 1202, 66]",26532,42,5329,335.8481012658228,67,"[66, 110, 66, 110, 150, 110, 74, 74, 66, 394, 66, 3388, 66, 118, 66, 146, 1403, 66, 587, 66, 66, 105, 105, 66, 438, 93, 66, 66, 90, 66, 66, 66, 66, 66, 54, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 499, 1457, 2848, 1438, 66, 97, 66, 66, 66, 74, 74, 66, 81, 66, 106, 66, 922, 1202, 66]",25524,54,5329,380.95522388059703,67,0,0,0,0.0,1.9658e-05,0.220070746,0.03647807488235294,8,8,"[83, 83, 83, 83, 115, 115, 139, 139]",840,83,139,105.0,0,8,0,75,"[66, 110, 66, 110, 150, 110, 74, 74, 66, 394, 66, 3388, 66, 118, 66, 146, 1403, 66, 587, 66, 66, 105, 105, 66, 438, 93, 66, 66, 90, 66, 66, 66, 66, 66, 54, 83, 83, 83, 83, 115, 115, 139, 139, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 499, 1457, 2848, 1438, 66, 97, 66, 66, 66, 74, 74, 66, 81, 66, 106, 66, 922, 1202, 66]",26364,54,5329,351.52,75,0,0.0,"{'1': 4, '28': 4}",{},0,0,0,0,0
https://www.scmp.com/,f85cfceb-cc19-424e-9945-8b0481730410,2025-05-01 10:48:51,"{'eth': 76, 'ip': 70, 'tcp': 62, 'tls': 27, 'arp': 6, 'udp': 8, 'dns': 8, 'ssh': 1}",76,"[90, 66, 66, 66, 66, 66, 74, 74, 66, 394, 66, 3388, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 42, 42, 90, 66, 66, 66, 66, 627, 66, 267, 66, 135, 66, 105, 66, 42, 42, 83, 83, 83, 83, 139, 115, 115, 74, 139, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 499, 1457, 1457, 1457, 1438, 97, 66, 66, 66, 66, 74, 74, 66, 106, 66, 42, 42]",24838,42,5329,326.8157894736842,62,"[90, 66, 66, 66, 66, 66, 74, 74, 66, 394, 66, 3388, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 90, 66, 66, 66, 66, 627, 66, 267, 66, 135, 66, 105, 66, 74, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 499, 1457, 1457, 1457, 1438, 97, 66, 66, 66, 66, 74, 74, 66, 106, 66]",23746,66,5329,383.0,62,1,0,0,1.6129032258064515,1.5346e-05,0.218081121,0.018884421466666666,8,8,"[83, 83, 83, 83, 139, 115, 115, 139]",840,83,139,105.0,0,8,0,70,"[90, 66, 66, 66, 66, 66, 74, 74, 66, 394, 66, 3388, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 90, 66, 66, 66, 66, 627, 66, 267, 66, 135, 66, 105, 66, 83, 83, 83, 83, 139, 115, 115, 74, 139, 74, 66, 583, 66, 5329, 66, 146, 152, 151, 626, 97, 97, 499, 1457, 1457, 1457, 1438, 97, 66, 66, 66, 66, 74, 74, 66, 106, 66]",24586,66,5329,351.22857142857146,70,0,0.0,"{'1': 4, '28': 4}",{},0,0,0,0,0
