website,id,date,layer_counts,all_packet_count,all_packet_sizes,all_packet_total_size,all_packet_min_size,all_packet_max_size,all_packet_average_size,tcp_packet_count,tcp_packet_sizes,tcp_packet_total_size,tcp_packet_min_size,tcp_packet_max_size,tcp_packet_average_size,tcp_count,tcp_retransmissions,tcp_duplicate_acks,tcp_fast_retransmissions,tcp_retransmission_percentage,tcp_min_rtt,tcp_max_rtt,tcp_avg_rtt,udp_count,udp_packet_count,udp_packet_sizes,udp_packet_total_size,udp_packet_min_size,udp_packet_max_size,udp_packet_average_size,rtp_count,dns_count,dns_incomplete_transactions,ip_packet_count,ip_packet_sizes,ip_packet_total_size,ip_packet_min_size,ip_packet_max_size,ip_packet_average_size,ip_count,ip_fragmented,ip_fragmentation_percentage,dns_query_types,dns_response_codes,data_count,data_total_payload_size,data_min_payload_size,data_max_payload_size,data_avg_payload_size
http://www.jewe.ir/,3b3f6c06-a5d4-4c45-b7fa-289bd229c386,2025-05-01 01:27:14,"{'eth': 79, 'ip': 71, 'tcp': 61, 'tls': 16, 'http': 8, 'json': 4, 'arp': 8, 'udp': 4, 'dns': 4, 'icmp': 6}",79,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 437, 93, 66, 1837, 54, 1837, 54, 1837, 281, 281, 54, 54, 54, 54, 54, 1837, 54, 281, 54, 54, 281, 54, 54, 42, 42, 1283, 66, 268, 66, 135, 66, 105, 66, 82, 82, 114, 114, 74, 74, 42, 42, 74, 1303, 66, 258, 66, 135, 66, 105, 90, 66, 66, 66, 66, 66, 74, 42, 42, 82, 82, 82, 82, 82, 82, 42, 42, 74]",22176,42,3388,280.7088607594937,61,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 437, 93, 66, 1837, 54, 1837, 54, 1837, 281, 281, 54, 54, 54, 54, 54, 1837, 54, 281, 54, 54, 281, 54, 54, 1283, 66, 268, 66, 135, 66, 105, 66, 74, 74, 74, 1303, 66, 258, 66, 135, 66, 105, 90, 66, 66, 66, 66, 66, 74, 74]",20956,54,3388,343.5409836065574,61,4,0,0,6.557377049180328,2.527e-05,0.043527124,0.004075461923076923,4,4,"[82, 82, 114, 114]",392,82,114,98.0,0,4,0,71,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 437, 93, 66, 1837, 54, 1837, 54, 1837, 281, 281, 54, 54, 54, 54, 54, 1837, 54, 281, 54, 54, 281, 54, 54, 1283, 66, 268, 66, 135, 66, 105, 66, 82, 82, 114, 114, 74, 74, 74, 1303, 66, 258, 66, 135, 66, 105, 90, 66, 66, 66, 66, 66, 74, 82, 82, 82, 82, 82, 82, 74]",21840,54,3388,307.6056338028169,71,0,0.0,{'1': 4},{},0,0,0,0,0
http://www.jewe.ir/,bd4669c0-a1ed-4258-a24b-1a42ff225c5c,2025-05-01 01:59:00,"{'eth': 99, 'ip': 91, 'tcp': 87, 'tls': 16, 'arp': 8, 'udp': 4, 'dns': 4, 'ssh': 12, 'http': 8, 'json': 4}",99,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 42, 42, 626, 66, 267, 66, 135, 66, 105, 66, 42, 42, 82, 82, 114, 74, 114, 74, 74, 42, 42, 74, 74, 66, 89, 66, 106, 66, 1002, 1202, 66, 66, 114, 66, 590, 66, 82, 66, 110, 66, 110, 150, 110, 90, 66, 66, 66, 66, 118, 66, 66, 74, 66, 1837, 54, 1837, 54, 1837, 54, 281, 54, 54, 1837, 54, 281, 281, 54, 54, 54, 54, 281, 54, 54, 42, 42, 1291, 66, 259, 66, 135, 66, 105, 66, 74]",25737,42,3387,259.969696969697,87,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 626, 66, 267, 66, 135, 66, 105, 66, 74, 74, 74, 74, 74, 66, 89, 66, 106, 66, 1002, 1202, 66, 66, 114, 66, 590, 66, 82, 66, 110, 66, 110, 150, 110, 90, 66, 66, 66, 66, 118, 66, 66, 74, 66, 1837, 54, 1837, 54, 1837, 54, 281, 54, 54, 1837, 54, 281, 281, 54, 54, 54, 54, 281, 54, 54, 1291, 66, 259, 66, 135, 66, 105, 66, 74]",25009,54,3387,287.4597701149425,87,4,0,0,4.597701149425287,1.4807e-05,0.220385524,0.03829418253658537,4,4,"[82, 82, 114, 114]",392,82,114,98.0,0,4,0,91,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 626, 66, 267, 66, 135, 66, 105, 66, 82, 82, 114, 74, 114, 74, 74, 74, 74, 66, 89, 66, 106, 66, 1002, 1202, 66, 66, 114, 66, 590, 66, 82, 66, 110, 66, 110, 150, 110, 90, 66, 66, 66, 66, 118, 66, 66, 74, 66, 1837, 54, 1837, 54, 1837, 54, 281, 54, 54, 1837, 54, 281, 281, 54, 54, 54, 54, 281, 54, 54, 1291, 66, 259, 66, 135, 66, 105, 66, 74]",25401,54,3387,279.13186813186815,91,0,0.0,{'1': 4},{},0,0,0,0,0
http://www.jewe.ir/,0fb20e16-62e5-45a0-91e8-3c81634154b7,2025-05-01 02:30:40,"{'eth': 125, 'ip': 115, 'tcp': 105, 'tls': 38, 'icmp': 6, 'arp': 10, 'udp': 4, 'dns': 4, 'DATA': 3, 'ssh': 6}",125,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 82, 82, 82, 82, 82, 82, 42, 42, 42, 42, 82, 82, 114, 74, 114, 74, 74, 42, 42, 54, 54, 54, 54, 54, 54, 54, 54, 74, 90, 66, 66, 66, 66, 66, 42, 42, 117, 7106, 5698, 66, 66, 11330, 14146, 2882, 66, 66, 15301, 78, 66, 258, 66, 135, 105, 117, 16472, 32878, 66, 6679, 66, 66, 78, 66, 78, 66, 259, 135, 66, 105, 117, 16472, 32878, 9073, 78, 66, 78, 66, 66, 78, 66, 270, 135, 117, 105, 13019, 66, 78, 66, 259, 135, 105, 66, 74, 74, 74, 66, 81, 66, 106, 66, 1202, 922, 66, 146, 66, 378, 42, 42, 146, 78, 378]",201641,42,32878,1613.128,105,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 74, 74, 74, 54, 54, 54, 54, 54, 54, 54, 54, 74, 90, 66, 66, 66, 66, 66, 117, 7106, 5698, 66, 66, 11330, 14146, 2882, 66, 66, 15301, 78, 66, 258, 66, 135, 105, 117, 16472, 32878, 66, 6679, 66, 66, 78, 66, 78, 66, 259, 135, 66, 105, 117, 16472, 32878, 9073, 78, 66, 78, 66, 66, 78, 66, 270, 135, 117, 105, 13019, 66, 78, 66, 259, 135, 105, 66, 74, 74, 74, 66, 81, 66, 106, 66, 1202, 922, 66, 146, 66, 378, 146, 78, 378]",200337,54,32878,1907.9714285714285,105,6,4,0,5.714285714285714,2.3917e-05,0.222389113,0.016566800318181817,4,4,"[82, 82, 114, 114]",392,82,114,98.0,0,4,0,115,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 587, 66, 66, 437, 93, 66, 82, 82, 82, 82, 82, 82, 82, 82, 114, 74, 114, 74, 74, 54, 54, 54, 54, 54, 54, 54, 54, 74, 90, 66, 66, 66, 66, 66, 117, 7106, 5698, 66, 66, 11330, 14146, 2882, 66, 66, 15301, 78, 66, 258, 66, 135, 105, 117, 16472, 32878, 66, 6679, 66, 66, 78, 66, 78, 66, 259, 135, 66, 105, 117, 16472, 32878, 9073, 78, 66, 78, 66, 66, 78, 66, 270, 135, 117, 105, 13019, 66, 78, 66, 259, 135, 105, 66, 74, 74, 74, 66, 81, 66, 106, 66, 1202, 922, 66, 146, 66, 378, 146, 78, 378]",201221,54,32878,1749.7478260869566,115,0,0.0,{'1': 4},{},3,0,0,0,0
http://www.jewe.ir/,f17d5beb-38bb-4919-94b8-38bc92b72604,2025-05-01 03:02:11,"{'eth': 119, 'ip': 111, 'tcp': 103, 'tls': 17, 'ssh': 12, 'arp': 8, 'udp': 4, 'dns': 4, 'http': 8, 'json': 4, 'icmp': 4}",119,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 74, 74, 66, 81, 66, 106, 81, 78, 1202, 78, 106, 66, 922, 66, 146, 66, 378, 42, 42, 378, 1002, 78, 378, 82, 66, 130, 66, 130, 130, 130, 146, 130, 130, 130, 66, 66, 82, 82, 114, 114, 74, 42, 42, 1837, 1837, 54, 54, 1837, 281, 54, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 54, 54, 66, 66, 74, 1283, 66, 259, 66, 135, 66, 105, 66, 74, 42, 42, 74, 90, 66, 66, 66, 66, 66, 82, 82, 1311, 66, 267, 66, 135, 66, 105, 90, 66, 66, 66, 66, 66, 42, 42, 82, 82, 74]",29467,42,3388,247.6218487394958,103,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 74, 74, 66, 81, 66, 106, 81, 78, 1202, 78, 106, 66, 922, 66, 146, 66, 378, 378, 1002, 78, 378, 82, 66, 130, 66, 130, 130, 130, 146, 130, 130, 130, 66, 66, 74, 1837, 1837, 54, 54, 1837, 281, 54, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 54, 54, 66, 66, 74, 1283, 66, 259, 66, 135, 66, 105, 66, 74, 74, 90, 66, 66, 66, 66, 66, 1311, 66, 267, 66, 135, 66, 105, 90, 66, 66, 66, 66, 66, 74]",28411,54,3388,275.8349514563107,103,13,2,0,12.62135922330097,1.4438e-05,2.284177269,0.16389892247727272,4,4,"[82, 82, 114, 114]",392,82,114,98.0,0,4,0,111,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 74, 74, 66, 81, 66, 106, 81, 78, 1202, 78, 106, 66, 922, 66, 146, 66, 378, 378, 1002, 78, 378, 82, 66, 130, 66, 130, 130, 130, 146, 130, 130, 130, 66, 66, 82, 82, 114, 114, 74, 1837, 1837, 54, 54, 1837, 281, 54, 54, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 54, 54, 66, 66, 74, 1283, 66, 259, 66, 135, 66, 105, 66, 74, 74, 90, 66, 66, 66, 66, 66, 82, 82, 1311, 66, 267, 66, 135, 66, 105, 90, 66, 66, 66, 66, 66, 82, 82, 74]",29131,54,3388,262.44144144144144,111,0,0.0,{'1': 4},{},0,0,0,0,0
http://www.jewe.ir/,39c5a810-6c08-47b3-813f-c2a75f664599,2025-05-01 03:33:31,"{'eth': 88, 'ip': 80, 'tcp': 62, 'tls': 10, 'arp': 8, 'icmp': 14, 'udp': 4, 'dns': 4, 'ssh': 12, '_ws.malformed': 5}",88,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 42, 42, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 105, 105, 66, 42, 42, 82, 82, 114, 74, 114, 74, 82, 82, 58, 74, 74, 66, 88, 66, 106, 66, 1202, 1042, 66, 66, 114, 66, 598, 66, 82, 66, 118, 66, 118, 74, 150, 118, 118, 66, 66, 66, 42, 42, 74, 42, 42, 90, 66, 66, 66, 66, 54, 54, 54, 54, 54, 54, 54, 54]",15079,42,3388,171.35227272727272,62,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 105, 105, 66, 74, 74, 58, 74, 74, 66, 88, 66, 106, 66, 1202, 1042, 66, 66, 114, 66, 598, 66, 82, 66, 118, 66, 118, 74, 150, 118, 118, 66, 66, 66, 74, 90, 66, 66, 66, 66, 54, 54, 54, 54, 54, 54, 54, 54]",13203,54,3388,212.9516129032258,62,3,0,0,4.838709677419355,2.2703e-05,0.175078427,0.04033040981481482,4,4,"[82, 82, 114, 114]",392,82,114,98.0,0,4,0,80,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 105, 105, 66, 82, 82, 114, 74, 114, 74, 82, 82, 58, 74, 74, 66, 88, 66, 106, 66, 1202, 1042, 66, 66, 114, 66, 598, 66, 82, 66, 118, 66, 118, 74, 150, 118, 118, 66, 66, 66, 74, 90, 66, 66, 66, 66, 54, 54, 54, 54, 54, 54, 54, 54]",14743,54,3388,184.2875,80,0,0.0,{'1': 4},{},0,0,0,0,0
http://www.jewe.ir/,42e0fd7a-0fff-4e2b-b6d0-b9010208a272,2025-05-01 04:05:11,"{'eth': 107, 'ip': 99, 'tcp': 87, 'tls': 16, 'arp': 8, 'udp': 4, 'dns': 4, 'http': 8, 'json': 4, 'icmp': 8, 'ssh': 12}",107,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 587, 66, 66, 438, 93, 66, 42, 42, 82, 82, 114, 74, 114, 42, 42, 74, 1837, 54, 1837, 54, 281, 54, 54, 1837, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 54, 54, 1291, 66, 259, 66, 135, 66, 105, 66, 74, 42, 42, 74, 1311, 82, 82, 66, 260, 66, 135, 66, 105, 90, 66, 66, 66, 66, 66, 82, 82, 82, 82, 82, 82, 74, 74, 42, 42, 66, 81, 66, 106, 66, 922, 1202, 66, 66, 146, 66, 378, 66, 82, 66, 130, 66, 130, 146, 130, 130, 66, 66, 66, 74]",26872,42,3387,251.14018691588785,87,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 587, 66, 66, 438, 93, 66, 74, 74, 1837, 54, 1837, 54, 281, 54, 54, 1837, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 54, 54, 1291, 66, 259, 66, 135, 66, 105, 66, 74, 74, 1311, 66, 260, 66, 135, 66, 105, 90, 66, 66, 66, 66, 66, 74, 74, 66, 81, 66, 106, 66, 922, 1202, 66, 66, 146, 66, 378, 66, 82, 66, 130, 66, 130, 146, 130, 130, 66, 66, 66, 74]",25488,54,3387,292.9655172413793,87,4,0,0,4.597701149425287,1.3804e-05,0.261815502,0.04268554663414634,4,4,"[82, 82, 114, 114]",392,82,114,98.0,0,4,0,99,"[74, 74, 66, 394, 66, 3387, 66, 146, 1403, 587, 66, 66, 438, 93, 66, 82, 82, 114, 74, 114, 74, 1837, 54, 1837, 54, 281, 54, 54, 1837, 54, 281, 1837, 54, 54, 54, 281, 54, 54, 281, 54, 54, 1291, 66, 259, 66, 135, 66, 105, 66, 74, 74, 1311, 82, 82, 66, 260, 66, 135, 66, 105, 90, 66, 66, 66, 66, 66, 82, 82, 82, 82, 82, 82, 74, 74, 66, 81, 66, 106, 66, 922, 1202, 66, 66, 146, 66, 378, 66, 82, 66, 130, 66, 130, 146, 130, 130, 66, 66, 66, 74]",26536,54,3387,268.04040404040404,99,0,0.0,{'1': 4},{},0,0,0,0,0
http://www.jewe.ir/,bec5b0e4-2c5b-4d8b-a663-b91f2b02c3e2,2025-05-01 04:36:50,"{'eth': 177, 'ip': 169, 'tcp': 161, 'tls': 45, 'arp': 8, 'ssh': 8, 'udp': 4, 'dns': 4, 'DATA': 4, 'icmp': 4}",177,"[74, 74, 66, 394, 66, 3389, 66, 146, 1403, 66, 587, 66, 437, 93, 66, 42, 42, 74, 74, 66, 106, 66, 54, 54, 54, 54, 54, 54, 54, 54, 42, 42, 82, 82, 114, 74, 114, 74, 117, 7106, 5698, 66, 66, 66, 5698, 14146, 8514, 66, 66, 66, 66, 5698, 5698, 66, 66, 66, 66, 5370, 66, 66, 66, 66, 66, 260, 66, 135, 105, 109, 16472, 32878, 66, 6266, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 268, 135, 66, 105, 117, 16472, 32878, 13689, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 268, 135, 105, 117, 16472, 950, 66, 66, 66, 66, 66, 66, 66, 259, 135, 105, 66, 74, 82, 82, 82, 82, 42, 42, 74, 665, 66, 268, 66, 135, 66, 105, 66, 42, 42, 90, 66, 66, 66, 66, 66, 74, 74, 66, 81, 66, 106, 1202, 78, 106, 66, 922, 66, 74, 146, 66, 378, 82, 66, 90, 66, 66, 66]",215533,42,32878,1217.7005649717514,161,"[74, 74, 66, 394, 66, 3389, 66, 146, 1403, 66, 587, 66, 437, 93, 66, 74, 74, 66, 106, 66, 54, 54, 54, 54, 54, 54, 54, 54, 74, 74, 117, 7106, 5698, 66, 66, 66, 5698, 14146, 8514, 66, 66, 66, 66, 5698, 5698, 66, 66, 66, 66, 5370, 66, 66, 66, 66, 66, 260, 66, 135, 105, 109, 16472, 32878, 66, 6266, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 268, 135, 66, 105, 117, 16472, 32878, 13689, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 268, 135, 105, 117, 16472, 950, 66, 66, 66, 66, 66, 66, 66, 259, 135, 105, 66, 74, 74, 665, 66, 268, 66, 135, 66, 105, 66, 90, 66, 66, 66, 66, 66, 74, 74, 66, 81, 66, 106, 1202, 78, 106, 66, 922, 66, 74, 146, 66, 378, 82, 66, 90, 66, 66, 66]",214477,54,32878,1332.1552795031057,161,5,0,0,3.1055900621118013,2.1713e-05,0.451361049,0.027703070849056606,4,4,"[82, 82, 114, 114]",392,82,114,98.0,0,4,0,169,"[74, 74, 66, 394, 66, 3389, 66, 146, 1403, 66, 587, 66, 437, 93, 66, 74, 74, 66, 106, 66, 54, 54, 54, 54, 54, 54, 54, 54, 82, 82, 114, 74, 114, 74, 117, 7106, 5698, 66, 66, 66, 5698, 14146, 8514, 66, 66, 66, 66, 5698, 5698, 66, 66, 66, 66, 5370, 66, 66, 66, 66, 66, 260, 66, 135, 105, 109, 16472, 32878, 66, 6266, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 268, 135, 66, 105, 117, 16472, 32878, 13689, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 268, 135, 105, 117, 16472, 950, 66, 66, 66, 66, 66, 66, 66, 259, 135, 105, 66, 74, 82, 82, 82, 82, 74, 665, 66, 268, 66, 135, 66, 105, 66, 90, 66, 66, 66, 66, 66, 74, 74, 66, 81, 66, 106, 1202, 78, 106, 66, 922, 66, 74, 146, 66, 378, 82, 66, 90, 66, 66, 66]",215197,54,32878,1273.3550295857988,169,0,0.0,{'1': 4},{},4,0,0,0,0
http://www.jewe.ir/,30cf418c-11e7-42a2-bb36-a1fd58fb2fad,2025-05-01 05:08:32,"{'eth': 116, 'arp': 10, 'ip': 106, 'tcp': 98, 'tls': 8, 'icmp': 4, 'ssh': 24, 'udp': 4, 'dns': 4}",116,"[42, 42, 74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 82, 82, 74, 74, 42, 42, 81, 66, 106, 1202, 78, 106, 66, 922, 66, 146, 66, 378, 82, 66, 82, 82, 114, 74, 130, 66, 130, 114, 1202, 130, 74, 146, 78, 130, 130, 78, 74, 146, 66, 130, 42, 42, 66, 130, 66, 66, 66, 66, 78, 66, 74, 74, 74, 66, 81, 66, 106, 42, 42, 66, 1202, 986, 66, 66, 146, 66, 378, 66, 82, 66, 130, 66, 130, 66, 146, 130, 130, 66, 66, 66, 54, 54, 54, 54, 54, 54, 54, 54, 90, 66, 66, 66, 66, 66, 82, 82, 42, 42, 74]",20753,42,3388,178.9051724137931,98,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 74, 74, 81, 66, 106, 1202, 78, 106, 66, 922, 66, 146, 66, 378, 82, 66, 74, 130, 66, 130, 1202, 130, 74, 146, 78, 130, 130, 78, 74, 146, 66, 130, 66, 130, 66, 66, 66, 66, 78, 66, 74, 74, 74, 66, 81, 66, 106, 66, 1202, 986, 66, 66, 146, 66, 378, 66, 82, 66, 130, 66, 130, 66, 146, 130, 130, 66, 66, 66, 54, 54, 54, 54, 54, 54, 54, 54, 90, 66, 66, 66, 66, 66, 74]",19613,54,3388,200.1326530612245,98,11,2,0,11.224489795918368,2.6339e-05,2.733201167,0.14875974163414632,4,4,"[82, 82, 114, 114]",392,82,114,98.0,0,4,0,106,"[74, 74, 66, 394, 66, 3388, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 82, 82, 74, 74, 81, 66, 106, 1202, 78, 106, 66, 922, 66, 146, 66, 378, 82, 66, 82, 82, 114, 74, 130, 66, 130, 114, 1202, 130, 74, 146, 78, 130, 130, 78, 74, 146, 66, 130, 66, 130, 66, 66, 66, 66, 78, 66, 74, 74, 74, 66, 81, 66, 106, 66, 1202, 986, 66, 66, 146, 66, 378, 66, 82, 66, 130, 66, 130, 66, 146, 130, 130, 66, 66, 66, 54, 54, 54, 54, 54, 54, 54, 54, 90, 66, 66, 66, 66, 66, 82, 82, 74]",20333,54,3388,191.82075471698113,106,0,0.0,{'1': 4},{},0,0,0,0,0
http://www.jewe.ir/,20c0ff18-c5b2-44c8-82e6-a18fac3b955d,2025-05-01 05:40:07,"{'eth': 76, 'ip': 68, 'tcp': 62, 'tls': 16, 'arp': 8, 'udp': 4, 'dns': 4, 'http': 8, 'json': 4, 'icmp': 2}",76,"[74, 74, 66, 394, 66, 3389, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 42, 42, 66, 54, 42, 42, 82, 82, 114, 74, 114, 74, 74, 42, 42, 1340, 66, 261, 66, 135, 66, 105, 66, 1837, 54, 1837, 54, 1837, 281, 54, 54, 54, 1837, 54, 281, 54, 54, 281, 281, 54, 54, 54, 54, 74, 90, 66, 66, 66, 66, 42, 42, 1312, 66, 267, 66, 135, 66, 105, 66, 82, 82]",21964,42,3389,289.0,62,"[74, 74, 66, 394, 66, 3389, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 66, 54, 74, 74, 74, 1340, 66, 261, 66, 135, 66, 105, 66, 1837, 54, 1837, 54, 1837, 281, 54, 54, 54, 1837, 54, 281, 54, 54, 281, 281, 54, 54, 54, 54, 74, 90, 66, 66, 66, 66, 1312, 66, 267, 66, 135, 66, 105, 66]",21072,54,3389,339.8709677419355,62,3,0,0,4.838709677419355,1.6422e-05,0.043485614,0.004103197461538461,4,4,"[82, 82, 114, 114]",392,82,114,98.0,0,4,0,68,"[74, 74, 66, 394, 66, 3389, 66, 146, 1403, 66, 587, 66, 438, 93, 66, 66, 54, 82, 82, 114, 74, 114, 74, 74, 1340, 66, 261, 66, 135, 66, 105, 66, 1837, 54, 1837, 54, 1837, 281, 54, 54, 54, 1837, 54, 281, 54, 54, 281, 281, 54, 54, 54, 54, 74, 90, 66, 66, 66, 66, 1312, 66, 267, 66, 135, 66, 105, 66, 82, 82]",21628,54,3389,318.05882352941177,68,0,0.0,{'1': 4},{},0,0,0,0,0
http://www.jewe.ir/,6a90136d-be99-443c-8409-28b84957718f,2025-05-01 06:12:00,"{'eth': 204, 'ip': 196, 'tcp': 192, 'tls': 54, 'DATA': 6, 'ssh': 11, 'arp': 8, 'udp': 4, 'dns': 4}",204,"[74, 74, 74, 66, 394, 66, 74, 66, 394, 3389, 66, 66, 3388, 66, 146, 1403, 66, 587, 146, 1403, 66, 593, 66, 66, 437, 93, 66, 437, 93, 66, 117, 7106, 5698, 66, 66, 66, 66, 66, 5698, 5698, 5698, 11330, 66, 66, 66, 66, 66, 66, 66, 66, 5698, 5698, 7736, 66, 66, 66, 66, 66, 66, 66, 66, 66, 267, 66, 135, 105, 117, 16472, 32450, 494, 66, 7200, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 258, 16472, 32450, 494, 66, 66, 66, 66, 66, 66, 6437, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 105, 66, 268, 66, 16234, 66, 66, 66, 66, 66, 66, 105, 66, 269, 66, 135, 105, 66, 74, 74, 74, 66, 81, 66, 106, 1202, 78, 106, 106, 66, 922, 66, 42, 42, 146, 66, 378, 82, 66, 130, 66, 130, 130, 78, 54, 54, 54, 624, 66, 258, 66, 135, 105, 66, 82, 82, 114, 114, 74, 130, 78, 74, 210, 130, 66, 42, 42, 54, 54, 74, 105, 105, 66, 74, 42, 42, 90, 66, 66, 66, 66, 66, 42, 42, 1291, 66, 259, 66, 135, 66, 105, 66, 74]",220005,42,32450,1078.4558823529412,192,"[74, 74, 74, 66, 394, 66, 74, 66, 394, 3389, 66, 66, 3388, 66, 146, 1403, 66, 587, 146, 1403, 66, 593, 66, 66, 437, 93, 66, 437, 93, 66, 117, 7106, 5698, 66, 66, 66, 66, 66, 5698, 5698, 5698, 11330, 66, 66, 66, 66, 66, 66, 66, 66, 5698, 5698, 7736, 66, 66, 66, 66, 66, 66, 66, 66, 66, 267, 66, 135, 105, 117, 16472, 32450, 494, 66, 7200, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 258, 16472, 32450, 494, 66, 66, 66, 66, 66, 66, 6437, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 105, 66, 268, 66, 16234, 66, 66, 66, 66, 66, 66, 105, 66, 269, 66, 135, 105, 66, 74, 74, 74, 66, 81, 66, 106, 1202, 78, 106, 106, 66, 922, 66, 146, 66, 378, 82, 66, 130, 66, 130, 130, 78, 54, 54, 54, 624, 66, 258, 66, 135, 105, 66, 74, 130, 78, 74, 210, 130, 66, 54, 54, 74, 105, 105, 66, 74, 90, 66, 66, 66, 66, 66, 1291, 66, 259, 66, 135, 66, 105, 66, 74]",219277,54,32450,1142.0677083333333,192,7,1,0,3.6458333333333335,1.0772e-05,1.209230299,0.05602560715384615,4,4,"[82, 82, 114, 114]",392,82,114,98.0,0,4,0,196,"[74, 74, 74, 66, 394, 66, 74, 66, 394, 3389, 66, 66, 3388, 66, 146, 1403, 66, 587, 146, 1403, 66, 593, 66, 66, 437, 93, 66, 437, 93, 66, 117, 7106, 5698, 66, 66, 66, 66, 66, 5698, 5698, 5698, 11330, 66, 66, 66, 66, 66, 66, 66, 66, 5698, 5698, 7736, 66, 66, 66, 66, 66, 66, 66, 66, 66, 267, 66, 135, 105, 117, 16472, 32450, 494, 66, 7200, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 258, 16472, 32450, 494, 66, 66, 66, 66, 66, 66, 6437, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 105, 66, 268, 66, 16234, 66, 66, 66, 66, 66, 66, 105, 66, 269, 66, 135, 105, 66, 74, 74, 74, 66, 81, 66, 106, 1202, 78, 106, 106, 66, 922, 66, 146, 66, 378, 82, 66, 130, 66, 130, 130, 78, 54, 54, 54, 624, 66, 258, 66, 135, 105, 66, 82, 82, 114, 114, 74, 130, 78, 74, 210, 130, 66, 54, 54, 74, 105, 105, 66, 74, 90, 66, 66, 66, 66, 66, 1291, 66, 259, 66, 135, 66, 105, 66, 74]",219669,54,32450,1120.7602040816328,196,0,0.0,{'1': 4},{},6,0,0,0,0
